# q=  0.00000000E+00  0.00000000E+00  0.00000000E+00  (qpt 1)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.10975727E-32     -0.67624714E-32     -0.11223802E-03     -0.10634527E-02
       2     -0.12152397E-32     -0.67624714E-32     -0.13119236E-03     -0.10634527E-02
       3     -0.12793240E-32     -0.67624714E-32     -0.13713580E-03     -0.10634527E-02
       4     -0.14966683E-32     -0.67624714E-32     -0.13989960E-03     -0.10634527E-02
       5     -0.15862019E-32     -0.67624714E-32     -0.13991617E-03     -0.10634527E-02
       6     -0.16799169E-32     -0.67624714E-32     -0.14094517E-03     -0.10634527E-02
       7     -0.17769719E-32     -0.67624714E-32     -0.14356652E-03     -0.10634527E-02
       8     -0.19115779E-32     -0.67624714E-32     -0.15052578E-03     -0.10634527E-02
       9     -0.21076845E-32     -0.67624714E-32     -0.15578839E-03     -0.10634527E-02
      10     -0.21804041E-32     -0.67624714E-32     -0.15583686E-03     -0.10634527E-02
      11     -0.22493322E-32     -0.67624714E-32     -0.15953339E-03     -0.10634527E-02
      12     -0.22920820E-32     -0.67624714E-32     -0.16274249E-03     -0.10634527E-02
      13     -0.24002591E-32     -0.67624714E-32     -0.16764545E-03     -0.10634527E-02
      14     -0.24545491E-32     -0.67624714E-32     -0.16766450E-03     -0.10634527E-02
      15     -0.25536793E-32     -0.67624714E-32     -0.16859391E-03     -0.10634527E-02
      16     -0.26299549E-32     -0.67624714E-32     -0.16926120E-03     -0.10634527E-02
      17     -0.27237761E-32     -0.67624714E-32     -0.16926285E-03     -0.10634527E-02
      18     -0.27696453E-32     -0.67624714E-32     -0.17996235E-03     -0.10634527E-02
      19     -0.28299138E-32     -0.67624714E-32     -0.18082473E-03     -0.10634527E-02
      20     -0.30293070E-32     -0.67624714E-32     -0.18514208E-03     -0.10634527E-02
      21     -0.31914997E-32     -0.67624714E-32     -0.18858445E-03     -0.10634527E-02
      22     -0.32447204E-32     -0.67624714E-32     -0.18863170E-03     -0.10634527E-02
      23     -0.32656037E-32     -0.67624714E-32     -0.18866263E-03     -0.10634527E-02
      24     -0.33706222E-32     -0.67624714E-32     -0.19082190E-03     -0.10634527E-02
      25     -0.34099020E-32     -0.67624714E-32     -0.19297658E-03     -0.10634527E-02
      26     -0.35076891E-32     -0.67624714E-32     -0.20170010E-03     -0.10634527E-02
      27     -0.35831008E-32     -0.67624714E-32     -0.20288477E-03     -0.10634527E-02
      28     -0.36449758E-32     -0.67624714E-32     -0.20424029E-03     -0.10634527E-02
      29     -0.37060532E-32     -0.67624714E-32     -0.20499529E-03     -0.10634527E-02
      30     -0.37615971E-32     -0.67624714E-32     -0.20515069E-03     -0.10634527E-02
      31     -0.38202314E-32     -0.67624714E-32     -0.21368334E-03     -0.10634527E-02
      32     -0.38478308E-32     -0.67624714E-32     -0.21647832E-03     -0.10634527E-02
      33     -0.38859449E-32     -0.67624714E-32     -0.21781004E-03     -0.10634527E-02
      34     -0.39443530E-32     -0.67624714E-32     -0.21837067E-03     -0.10634527E-02
      35     -0.39543502E-32     -0.67624714E-32     -0.22241814E-03     -0.10634527E-02
      36     -0.39839895E-32     -0.67624714E-32     -0.22256727E-03     -0.10634527E-02
      37     -0.40220947E-32     -0.67624714E-32     -0.24007905E-03     -0.10634527E-02
      38     -0.40275583E-32     -0.67624714E-32     -0.24013876E-03     -0.10634527E-02
      39     -0.40509487E-32     -0.67624714E-32     -0.24046786E-03     -0.10634527E-02
      40     -0.40919662E-32     -0.67624714E-32     -0.24223702E-03     -0.10634527E-02
      41     -0.41141923E-32     -0.67624714E-32     -0.24226125E-03     -0.10634527E-02
      42     -0.41538793E-32     -0.67624714E-32     -0.24239967E-03     -0.10634527E-02
      43     -0.41856318E-32     -0.67624714E-32     -0.24261099E-03     -0.10634527E-02
      44     -0.42130397E-32     -0.67624714E-32     -0.24721943E-03     -0.10634527E-02
      45     -0.42787821E-32     -0.67624714E-32     -0.24736759E-03     -0.10634527E-02
      46     -0.42908539E-32     -0.67624714E-32     -0.24746263E-03     -0.10634527E-02
      47     -0.43158666E-32     -0.67624714E-32     -0.24746265E-03     -0.10634527E-02
      48     -0.43648337E-32     -0.67624714E-32     -0.24764767E-03     -0.10634527E-02
      49     -0.44071878E-32     -0.67624714E-32     -0.24765023E-03     -0.10634527E-02
      50     -0.44291964E-32     -0.67624714E-32     -0.24954814E-03     -0.10634527E-02
      51     -0.44840348E-32     -0.67624714E-32     -0.25368995E-03     -0.10634527E-02
      52     -0.45193998E-32     -0.67624714E-32     -0.25370752E-03     -0.10634527E-02
      53     -0.45317601E-32     -0.67624714E-32     -0.25371794E-03     -0.10634527E-02
      54     -0.45721409E-32     -0.67624714E-32     -0.25371855E-03     -0.10634527E-02
      55     -0.46062332E-32     -0.67624714E-32     -0.25371862E-03     -0.10634527E-02
      56     -0.46257734E-32     -0.67624714E-32     -0.25453001E-03     -0.10634527E-02
      57     -0.46478679E-32     -0.67624714E-32     -0.25586739E-03     -0.10634527E-02
      58     -0.46670417E-32     -0.67624714E-32     -0.25869031E-03     -0.10634527E-02
      59     -0.46867322E-32     -0.67624714E-32     -0.25890795E-03     -0.10634527E-02
      60     -0.47471565E-32     -0.67624714E-32     -0.29306296E-03     -0.10634527E-02
      61     -0.47793200E-32     -0.67624714E-32     -0.29317962E-03     -0.10634527E-02
      62     -0.48008490E-32     -0.67624714E-32     -0.29812878E-03     -0.10634527E-02
      63     -0.48142123E-32     -0.67624714E-32     -0.29961680E-03     -0.10634527E-02
      64     -0.48288531E-32     -0.67624714E-32     -0.30120837E-03     -0.10634527E-02
      65     -0.48430605E-32     -0.67624714E-32     -0.30138285E-03     -0.10634527E-02
      66     -0.48556773E-32     -0.67624714E-32     -0.30220287E-03     -0.10634527E-02
      67     -0.48752228E-32     -0.67624714E-32     -0.30223646E-03     -0.10634527E-02
      68     -0.48864946E-32     -0.67624714E-32     -0.30224031E-03     -0.10634527E-02
      69     -0.49075364E-32     -0.67624714E-32     -0.30225874E-03     -0.10634527E-02
      70     -0.49273158E-32     -0.67624714E-32     -0.30226220E-03     -0.10634527E-02
      71     -0.49353353E-32     -0.67624714E-32     -0.30226414E-03     -0.10634527E-02
      72     -0.49424857E-32     -0.67624714E-32     -0.30227740E-03     -0.10634527E-02
      73     -0.49552394E-32     -0.67624714E-32     -0.30231368E-03     -0.10634527E-02
      74     -0.49658641E-32     -0.67624714E-32     -0.30235916E-03     -0.10634527E-02
      75     -0.49730515E-32     -0.67624714E-32     -0.30235918E-03     -0.10634527E-02
      76     -0.50019970E-32     -0.67624714E-32     -0.30235921E-03     -0.10634527E-02
      77     -0.50157569E-32     -0.67624714E-32     -0.30447883E-03     -0.10634527E-02
      78     -0.50583057E-32     -0.67624714E-32     -0.30613968E-03     -0.10634527E-02
      79     -0.50855180E-32     -0.67624714E-32     -0.30949996E-03     -0.10634527E-02
      80     -0.51500025E-32     -0.67624714E-32     -0.33577394E-03     -0.10634527E-02
      81     -0.51881644E-32     -0.67624714E-32     -0.33644281E-03     -0.10634527E-02
      82     -0.52206852E-32     -0.67624714E-32     -0.33853513E-03     -0.10634527E-02
      83     -0.52783305E-32     -0.67624714E-32     -0.35111687E-03     -0.10634527E-02
      84     -0.53036830E-32     -0.67624714E-32     -0.35370515E-03     -0.10634527E-02
      85     -0.53427331E-32     -0.67624714E-32     -0.35384482E-03     -0.10634527E-02
      86     -0.53624962E-32     -0.67624714E-32     -0.35730468E-03     -0.10634527E-02
      87     -0.53717175E-32     -0.67624714E-32     -0.35855351E-03     -0.10634527E-02
      88     -0.53880393E-32     -0.67624714E-32     -0.35861550E-03     -0.10634527E-02
      89     -0.53980295E-32     -0.67624714E-32     -0.35869521E-03     -0.10634527E-02
      90     -0.54082054E-32     -0.67624714E-32     -0.36109521E-03     -0.10634527E-02
      91     -0.54192249E-32     -0.67624714E-32     -0.36199337E-03     -0.10634527E-02
      92     -0.54278291E-32     -0.67624714E-32     -0.36279843E-03     -0.10634527E-02
      93     -0.54358335E-32     -0.67624714E-32     -0.36288860E-03     -0.10634527E-02
      94     -0.54431558E-32     -0.67624714E-32     -0.36357230E-03     -0.10634527E-02
      95     -0.54561436E-32     -0.67624714E-32     -0.36376046E-03     -0.10634527E-02
      96     -0.54623429E-32     -0.67624714E-32     -0.36410303E-03     -0.10634527E-02
      97     -0.54733514E-32     -0.67624714E-32     -0.36538687E-03     -0.10634527E-02
      98     -0.54814222E-32     -0.67624714E-32     -0.36586236E-03     -0.10634527E-02
      99     -0.54926943E-32     -0.67624714E-32     -0.36608834E-03     -0.10634527E-02
     100     -0.55009446E-32     -0.67624714E-32     -0.36704688E-03     -0.10634527E-02
     101     -0.55073551E-32     -0.67624714E-32     -0.36845757E-03     -0.10634527E-02
     102     -0.55134642E-32     -0.67624714E-32     -0.36865819E-03     -0.10634527E-02
     103     -0.55276184E-32     -0.67624714E-32     -0.36943141E-03     -0.10634527E-02
     104     -0.55492641E-32     -0.67624714E-32     -0.37019159E-03     -0.10634527E-02
     105     -0.55516988E-32     -0.67624714E-32     -0.37021390E-03     -0.10634527E-02
     106     -0.55574267E-32     -0.67624714E-32     -0.37038469E-03     -0.10634527E-02
     107     -0.55628726E-32     -0.67624714E-32     -0.37107645E-03     -0.10634527E-02
     108     -0.55717326E-32     -0.67624714E-32     -0.37113111E-03     -0.10634527E-02
