# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -6.12051559E+00  -6.23865972E+00  -1.18144130E-01
# Error est. for CH(vbm) CH(cbm) diff =   5.97618350E-01   7.42345810E-01   1.44727460E-01
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -2.51685250E-01  -2.10279827E-01   4.14054237E-02
      2  -8.18836970E-01  -5.67305579E-01   2.51531391E-01
      3  -9.26367535E-01  -1.30337125E+00  -3.77003714E-01
      4  -1.03389810E+00  -2.03943692E+00  -1.00553882E+00
      5  -3.01113442E+00  -2.54345134E+00   4.67683080E-01
      6  -3.40136726E+00  -3.14775474E+00   2.53612517E-01
      7  -3.79160009E+00  -3.75205814E+00   3.95419534E-02
      8  -3.85260963E+00  -3.75796897E+00   9.46406692E-02
      9  -3.87032668E+00  -3.76406704E+00   1.06259635E-01
     10  -3.87203354E+00  -3.77043756E+00   1.01595987E-01
     11  -3.88102687E+00  -3.79691627E+00   8.41105965E-02
     12  -3.89002019E+00  -3.82339499E+00   6.66252058E-02
     13  -3.89777099E+00  -3.82768889E+00   7.00821066E-02
     14  -3.96587217E+00  -3.83406511E+00   1.31807065E-01
     15  -3.97032734E+00  -3.85227043E+00   1.18056911E-01
     16  -3.99223388E+00  -3.86057604E+00   1.31657844E-01
     17  -3.99407362E+00  -3.88136245E+00   1.12711170E-01
     18  -3.99591336E+00  -3.90214886E+00   9.37644948E-02
     19  -3.99701664E+00  -3.90615847E+00   9.08581763E-02
     20  -3.99909199E+00  -3.90901325E+00   9.00787385E-02
     21  -4.00116734E+00  -3.91186805E+00   8.92992999E-02
     22  -4.00181854E+00  -3.91564844E+00   8.61701055E-02
     23  -4.01160856E+00  -3.92543531E+00   8.61732442E-02
     24  -4.02516503E+00  -3.96953838E+00   5.56266515E-02
     25  -4.03872150E+00  -4.01364144E+00   2.50800588E-02
     26  -4.11267536E+00  -4.01991634E+00   9.27590271E-02
     27  -4.11316518E+00  -4.02134486E+00   9.18203240E-02
     28  -4.11609714E+00  -4.03580541E+00   8.02917218E-02
     29  -4.11742384E+00  -4.04803357E+00   6.93902707E-02
     30  -4.11875054E+00  -4.06026172E+00   5.84888184E-02
     31  -4.14659049E+00  -4.07919022E+00   6.74002708E-02
     32  -4.15258293E+00  -4.09863108E+00   5.39518591E-02
     33  -4.15857538E+00  -4.11807193E+00   4.05034489E-02
     34  -4.18000771E+00  -4.12000964E+00   5.99980686E-02
     35  -4.18920417E+00  -4.15257429E+00   3.66298822E-02
     36  -4.22301535E+00  -4.16452314E+00   5.84922158E-02
     37  -4.25545600E+00  -4.17141849E+00   8.40375117E-02
     38  -4.25960536E+00  -4.17738177E+00   8.22235946E-02
     39  -4.26375473E+00  -4.18334505E+00   8.04096774E-02
     40  -4.29889598E+00  -4.18608963E+00   1.12806349E-01
     41  -4.30708179E+00  -4.21317815E+00   9.39036441E-02
     42  -4.35367088E+00  -4.23973669E+00   1.13934189E-01
     43  -4.35567982E+00  -4.24708643E+00   1.08593390E-01
     44  -4.37414362E+00  -4.26295987E+00   1.11183745E-01
     45  -4.39260742E+00  -4.27883332E+00   1.13774100E-01
     46  -4.39704539E+00  -4.29915239E+00   9.78929935E-02
     47  -4.39803804E+00  -4.30159268E+00   9.64453614E-02
     48  -4.39903070E+00  -4.30403297E+00   9.49977294E-02
     49  -4.41866500E+00  -4.30633158E+00   1.12333421E-01
     50  -4.41940572E+00  -4.30761989E+00   1.11785828E-01
     51  -4.42014644E+00  -4.30890821E+00   1.11238235E-01
     52  -4.42016996E+00  -4.30901099E+00   1.11158971E-01
     53  -4.42071634E+00  -4.30943526E+00   1.11281087E-01
     54  -4.42095730E+00  -4.31015531E+00   1.10801985E-01
     55  -4.42261112E+00  -4.32686184E+00   9.57492800E-02
     56  -4.42426494E+00  -4.34356837E+00   8.06965745E-02
     57  -4.42430298E+00  -4.34364238E+00   8.06605994E-02
     58  -4.42434102E+00  -4.34371639E+00   8.06246244E-02
     59  -4.42434960E+00  -4.34378702E+00   8.05625834E-02
     60  -4.42434684E+00  -4.34379234E+00   8.05544988E-02
     61  -4.42712776E+00  -4.35389046E+00   7.32373058E-02
     62  -4.42990869E+00  -4.36398858E+00   6.59201126E-02
     63  -4.43664996E+00  -4.36598578E+00   7.06641756E-02
     64  -4.44212096E+00  -4.38929884E+00   5.28221185E-02
