# q=  0.10000000E-02  0.00000000E+00  0.00000000E+00  (qpt 1)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.89434418E-06      0.00000000E+00     -0.10082643E-04      0.00000000E+00
       2     -0.93778108E-06      0.00000000E+00     -0.23567179E-04      0.00000000E+00
       3     -0.97468366E-06      0.00000000E+00     -0.36108976E-04      0.00000000E+00
       4     -0.98262756E-06      0.00000000E+00     -0.47545046E-04      0.00000000E+00
       5     -0.98281501E-06      0.00000000E+00     -0.56328110E-04      0.00000000E+00
       6     -0.98692922E-06      0.00000000E+00     -0.64640555E-04      0.00000000E+00
       7     -0.98906471E-06      0.00000000E+00     -0.71515977E-04      0.00000000E+00

# q=  0.00000000E+00  0.00000000E+00  0.50000000E+00  (qpt 2)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.48502152E-02      0.00000000E+00     -0.12837992E-04      0.00000000E+00
       2     -0.93446777E-02      0.00000000E+00     -0.21529881E-04      0.00000000E+00
       3     -0.12479900E-01      0.00000000E+00     -0.29169678E-04      0.00000000E+00
       4     -0.15627423E-01      0.00000000E+00     -0.36894493E-04      0.00000000E+00
       5     -0.16566404E-01      0.00000000E+00     -0.43483275E-04      0.00000000E+00
       6     -0.18201679E-01      0.00000000E+00     -0.52097641E-04      0.00000000E+00
       7     -0.19066422E-01      0.00000000E+00     -0.57233072E-04      0.00000000E+00

# q=  0.00000000E+00  0.50000000E+00  0.50000000E+00  (qpt 3)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.57624298E-02      0.00000000E+00     -0.17397444E-04      0.00000000E+00
       2     -0.11105416E-01      0.00000000E+00     -0.31019523E-04      0.00000000E+00
       3     -0.15153252E-01      0.00000000E+00     -0.39136364E-04      0.00000000E+00
       4     -0.19183595E-01      0.00000000E+00     -0.50642120E-04      0.00000000E+00
       5     -0.20528876E-01      0.00000000E+00     -0.57853265E-04      0.00000000E+00
       6     -0.21846007E-01      0.00000000E+00     -0.67927795E-04      0.00000000E+00
       7     -0.22624549E-01      0.00000000E+00     -0.74719485E-04      0.00000000E+00

