# k =  0.00000000E+00  0.00000000E+00  0.00000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       1 -0.10749875E+01 -0.96531184E+00  0.10967561E+00 -0.20435869E+00
       2 -0.19836187E+01 -0.17003838E+01  0.28323497E+00 -0.20435869E+00
       3 -0.21433918E+01 -0.17927867E+01  0.35060514E+00 -0.20435869E+00
       4 -0.49597962E+01 -0.18852387E+01  0.30745575E+01 -0.20435869E+00
       5 -0.51599461E+01 -0.49182863E+01  0.24165984E+00 -0.20435869E+00
       6 -0.52146466E+01 -0.50815711E+01  0.13307545E+00 -0.20435869E+00
       7 -0.53888576E+01 -0.52167716E+01  0.17208600E+00 -0.20435869E+00
       8 -0.54691654E+01 -0.54312703E+01  0.37895031E-01 -0.20435869E+00
       9 -0.57394918E+01 -0.57697237E+01 -0.30231907E-01 -0.20435869E+00
      10 -0.58334071E+01 -0.57970825E+01  0.36324561E-01 -0.20435869E+00
      11 -0.58871401E+01 -0.58726958E+01  0.14444266E-01 -0.20435869E+00
# k =  0.00000000E+00  0.00000000E+00  0.50000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       1 -0.74765971E+00 -0.56915135E+00  0.17850836E+00 -0.26486622E+00
       2 -0.13214745E+01 -0.12960458E+01  0.25428700E-01 -0.26486622E+00
       3 -0.16675397E+01 -0.14477465E+01  0.21979317E+00 -0.26486622E+00
       4 -0.45593508E+01 -0.16420991E+01  0.29172517E+01 -0.26486622E+00
       5 -0.46845165E+01 -0.43381651E+01  0.34635136E+00 -0.26486622E+00
       6 -0.48115353E+01 -0.46908677E+01  0.12066762E+00 -0.26486622E+00
       7 -0.49693637E+01 -0.48124692E+01  0.15689445E+00 -0.26486622E+00
       8 -0.50667288E+01 -0.50362561E+01  0.30472674E-01 -0.26486622E+00
       9 -0.51993553E+01 -0.52888934E+01 -0.89538009E-01 -0.26486622E+00
      10 -0.53478408E+01 -0.53272926E+01  0.20548163E-01 -0.26486622E+00
      11 -0.54279480E+01 -0.54333466E+01 -0.53985993E-02 -0.26486622E+00
# k =  0.00000000E+00  0.50000000E+00  0.50000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       1 -0.93885112E+00 -0.47546541E+00  0.46338571E+00  0.45770047E+00
       2 -0.14473039E+01 -0.10304873E+01  0.41681664E+00  0.45770047E+00
       3 -0.18055390E+01 -0.11512834E+01  0.65425557E+00  0.45770047E+00
       4 -0.44628826E+01 -0.13384780E+01  0.31244047E+01  0.45770047E+00
       5 -0.46349374E+01 -0.40776439E+01  0.55729356E+00  0.45770047E+00
       6 -0.47832336E+01 -0.42876594E+01  0.49557415E+00  0.45770047E+00
       7 -0.49982716E+01 -0.43972862E+01  0.60098543E+00  0.45770047E+00
       8 -0.50823928E+01 -0.47472012E+01  0.33519155E+00  0.45770047E+00
       9 -0.51717943E+01 -0.48264751E+01  0.34531925E+00  0.45770047E+00
      10 -0.53277462E+01 -0.49912817E+01  0.33646454E+00  0.45770047E+00
      11 -0.54104159E+01 -0.50629299E+01  0.34748599E+00  0.45770047E+00
