# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1       1    -0.00059     0.00059     0.00059   -7.528386573   -7.659239026   -0.130852453
     1       1     0.14644     0.14762    -0.14644   -6.823571707   -6.874688060   -0.051116353
     1       1    -0.29465    -0.29347     0.29465   -5.799379244   -5.805424081   -0.006044837
     1       1    -0.14762    -0.14644     0.14762   -6.820143835   -6.871241634   -0.051097800
     1       1     0.14644    -0.14644     0.14762   -6.823571707   -6.874688060   -0.051116352
     1       1     0.29347     0.00059     0.00059   -6.605013989   -6.651201470   -0.046187480
     1       1     0.44050     0.14762    -0.14644   -5.456951273   -5.428545587    0.028405686
     1       1    -0.00059    -0.29347     0.29465   -5.883282905   -5.856658192    0.026624713
     1       1    -0.29465     0.29465    -0.29347   -5.799379244   -5.805424081   -0.006044837
     1       1     0.44050    -0.14644     0.14762   -5.456951273   -5.428545601    0.028405672
     1       1    -0.58870     0.00059     0.00059   -4.813477535   -4.811413768    0.002063767
     1       1    -0.44168     0.14762    -0.14644   -5.450933595   -5.422405309    0.028528286
     1       1    -0.14762     0.14762    -0.14644   -6.820143835   -6.871241634   -0.051097799
     1       1    -0.00059     0.29465    -0.29347   -5.883282905   -5.856658193    0.026624712
     1       1    -0.44168    -0.14644     0.14762   -5.450933595   -5.422405322    0.028528273
     1       1    -0.29465     0.00059     0.00059   -6.597931257   -6.644063266   -0.046132008
     1       1    -0.14762     0.14762     0.14762   -6.816719454   -6.867798612   -0.051079157
     1       1    -0.00059     0.29465     0.00059   -6.597931257   -6.644063263   -0.046132005
     1       1     0.14644     0.44168    -0.14644   -5.451518073   -5.423063083    0.028454990
     1       1    -0.29465     0.00059     0.29465   -5.878231294   -5.851534525    0.026696769
     1       1    -0.00059     0.00059     0.29465   -6.597931257   -6.644063264   -0.046132007
     1       1     0.14644     0.14762     0.14762   -6.820143835   -6.871241634   -0.051097799
     1       1     0.29347     0.29465     0.00059   -5.883282905   -5.856658200    0.026624706
     1       1    -0.14762    -0.14644     0.44168   -5.450933595   -5.422405309    0.028528286
     1       1     0.14644    -0.14644     0.44168   -5.451518073   -5.423063084    0.028454990
     1       1     0.29347     0.00059     0.29465   -5.883282905   -5.856658195    0.026624710
     1       1     0.44050     0.14762     0.14762   -5.456364133   -5.427885311    0.028478823
     1       1    -0.00059    -0.29347     0.58870   -4.848530486   -4.777554788    0.070975698
     1       1    -0.29465     0.29465     0.00059   -5.878231294   -5.851534520    0.026696773
     1       1    -0.14762     0.44168    -0.14644   -5.450933595   -5.422405322    0.028528273
     1       1    -0.58870     0.00059     0.29465   -4.848530486   -4.777554790    0.070975696
     1       1    -0.44168     0.14762     0.14762   -5.450366561   -5.421764462    0.028602099
     1       1     0.29347    -0.29347    -0.29347   -5.799414427   -5.805458608   -0.006044181
     1       1    -0.14762     0.44168     0.14762   -5.450366561   -5.421764463    0.028602098
     1       1    -0.00059    -0.58753     0.00059   -4.813477535   -4.811413768    0.002063767
     1       1     0.14644    -0.44050    -0.14644   -5.457555772   -5.429222713    0.028333058
     1       1    -0.14762     0.14762     0.44168   -5.450366561   -5.421764454    0.028602107
     1       1    -0.00059     0.29465     0.29465   -5.878231294   -5.851534526    0.026696768
     1       1     0.14644     0.44168     0.14762   -5.450933595   -5.422405309    0.028528286
     1       1    -0.29465     0.00059     0.58870   -4.848530486   -4.777554789    0.070975697
     1       1    -0.00059     0.00059    -0.58753   -4.813477535   -4.811413768    0.002063767
     1       1     0.14644     0.14762     0.44168   -5.450933595   -5.422405311    0.028528285
     1       1    -0.29465    -0.29347    -0.29347   -5.799379244   -5.805424081   -0.006044837
     1       1    -0.14762    -0.14644    -0.44050   -5.456951273   -5.428545596    0.028405677
     1       1     0.14644    -0.14644    -0.44050   -5.457555772   -5.429222715    0.028333057
     1       1    -0.29465     0.58870     0.00059   -4.848530486   -4.777554791    0.070975695
     1       1    -0.14762    -0.44050    -0.14644   -5.456951273   -5.428545586    0.028405686
     1       1    -0.00059    -0.29347    -0.29347   -5.888351911   -5.861798611    0.026553300
     1       1     0.14644    -0.14644    -0.14644   -6.827003053   -6.878137872   -0.051134819
     1       1     0.29347     0.00059    -0.29347   -5.888351911   -5.861798612    0.026553299
     1       1    -0.14762    -0.44050     0.14762   -5.456364133   -5.427885298    0.028478835
     1       1    -0.00059    -0.29347     0.00059   -6.605013989   -6.651201472   -0.046187483
     1       1     0.29347    -0.29347     0.00059   -5.888351911   -5.861798608    0.026553303
     1       1     0.44050    -0.14644    -0.14644   -5.457555772   -5.429222723    0.028333048
     1       1    -0.00059    -0.58753     0.29465   -4.848530486   -4.777554792    0.070975694
     1       1     0.14644    -0.44050     0.14762   -5.456951273   -5.428545596    0.028405676
     1       1    -0.14762     0.14762    -0.44050   -5.456364133   -5.427885309    0.028478824
     1       1     0.58753    -0.29347     0.00059   -4.848530486   -4.777554785    0.070975701
     1       1    -0.44168    -0.14644    -0.14644   -5.451518073   -5.423063082    0.028454991
     1       1    -0.29465     0.00059    -0.29347   -5.883282905   -5.856658192    0.026624713
     1       1    -0.00059     0.00059    -0.29347   -6.605013989   -6.651201470   -0.046187481
     1       1     0.14644     0.14762    -0.44050   -5.456951273   -5.428545598    0.028405674
     1       1    -0.29465    -0.29347     0.00059   -5.883282905   -5.856658194    0.026624711
     1       1    -0.14762    -0.14644    -0.14644   -6.823571707   -6.874688060   -0.051116353
     1       2    -0.00059     0.00059     0.00059    5.551085309    6.289523304    0.738437995
     1       2     0.14644     0.14762    -0.14644    1.219269831    1.611468179    0.392198348
     1       2    -0.29465    -0.29347     0.29465   -1.478063602   -1.384247496    0.093816106
     1       2    -0.14762    -0.14644     0.14762    1.207737236    1.599838465    0.392101230
     1       2     0.14644    -0.14644     0.14762    1.219269831    1.611468179    0.392198349
     1       2     0.29347     0.00059     0.00059    1.357277757    1.740231357    0.382953600
     1       2     0.44050     0.14762    -0.14644   -1.047737741   -0.878503573    0.169234168
     1       2    -0.00059    -0.29347     0.29465   -0.382898870   -0.138364282    0.244534588
     1       2    -0.29465     0.29465    -0.29347   -1.478063602   -1.384247496    0.093816106
     1       2     0.44050    -0.14644     0.14762   -1.047737741   -0.878503571    0.169234169
     1       2    -0.58870     0.00059     0.00059   -1.584206952   -1.512398712    0.071808239
     1       2    -0.44168     0.14762    -0.14644   -1.053256386   -0.884071716    0.169184670
