
 frequency_dependence   1

 band_index    13    34
 sigma_matrix     0   0

 finite_difference_form   2
 finite_difference_spacing  1.000000

 symmetries
 ntran  = 12
 mtrx01 =  1  0  0  0  1  0  0  0  1
 mtrx02 = -1  1  0  0  1  0  0  0 -1
 mtrx03 =  0 -1  0  1 -1  0  0  0  1
 mtrx04 = -1  1  0 -1  0  0  0  0  1
 mtrx05 =  0 -1  0 -1  0  0  0  0 -1
 mtrx06 =  1  0  0  1 -1  0  0  0 -1
 mtrx07 =  1  0  0  0  1  0  0  0 -1
 mtrx08 = -1  1  0  0  1  0  0  0  1
 mtrx09 = -1  1  0 -1  0  0  0  0 -1
 mtrx10 =  0 -1  0  1 -1  0  0  0 -1
 mtrx11 =  1  0  0  1 -1  0  0  0  1
 mtrx12 =  0 -1  0 -1  0  0  0  0  1
 
       k =  0.000000  0.000000  0.000000 ik =   1 spin = 1

   n         Emf          Eo           X        SX-X          CH         Sig         Vxc        Eqp0        Eqp1         CH`        Sig`       Eqp0`       Eqp1`         Znk
  13  -11.564664  -11.564664  -17.132818   12.217257   -9.482904  -14.398465  -12.855777  -13.107353  -12.790183   -9.179937  -14.095498  -12.804385  -12.549505    0.794405
  14  -11.564664  -11.564664  -17.132818   12.217257   -9.482904  -14.398465  -12.855777  -13.107353  -12.790183   -9.179937  -14.095498  -12.804385  -12.549505    0.794405
  15   -8.545580   -8.545580  -17.845165   12.220473  -11.060306  -16.684998  -15.560704   -9.669874   -9.447795  -10.458440  -16.083132   -9.068008   -8.964814    0.802472
  16   -8.545580   -8.545580  -17.845165   12.220473  -11.060306  -16.684998  -15.560704   -9.669874   -9.447795  -10.458440  -16.083132   -9.068008   -8.964814    0.802472
  17   -8.480448   -8.480448  -17.705215   12.608298  -11.492792  -16.589710  -15.441494   -9.628663   -9.402469  -10.908701  -16.005619   -9.044572   -8.933442    0.803003
  18   -8.480448   -8.480448  -17.705215   12.608298  -11.492792  -16.589710  -15.441494   -9.628663   -9.402469  -10.908701  -16.005619   -9.044572   -8.933442    0.803003
  19   -7.732707   -7.732707  -15.255649   10.409478   -9.164763  -14.010934  -12.348230   -9.395411   -9.097352   -8.864205  -13.710376   -9.094853   -8.850673    0.820739
  20   -7.732707   -7.732707  -15.255649   10.409478   -9.164763  -14.010934  -12.348230   -9.395411   -9.097352   -8.864205  -13.710376   -9.094853   -8.850673    0.820739
  21   -7.431180   -7.431180  -17.378343   11.814753  -11.574683  -17.138273  -15.944605   -8.624847   -8.399668  -10.940262  -16.503852   -7.990427   -7.884928    0.811355
  22   -7.431180   -7.431180  -17.378343   11.814753  -11.574683  -17.138273  -15.944605   -8.624847   -8.399668  -10.940262  -16.503852   -7.990427   -7.884928    0.811355
  23   -7.345804   -7.345804  -17.268565   11.543612  -11.373489  -17.098442  -15.907813   -8.536433   -8.312191  -10.744603  -16.469556   -7.907547   -7.801749    0.811661
  24   -7.345804   -7.345804  -17.268565   11.543612  -11.373489  -17.098442  -15.907813   -8.536433   -8.312191  -10.744603  -16.469556   -7.907547   -7.801749    0.811661
  25   -5.954629   -5.954629  -15.799320   10.582269  -10.890631  -16.107681  -15.107118   -6.955192   -6.770591  -10.246364  -15.463415   -6.310925   -6.245190    0.815503
  26   -5.954629   -5.954629  -15.799320   10.582269  -10.890631  -16.107681  -15.107118   -6.955192   -6.770591  -10.246364  -15.463415   -6.310925   -6.245190    0.815503
  27   -3.145603   -3.145603  -10.939184    6.716154  -11.262036  -15.485066  -15.485484   -3.145185   -3.145265  -10.610270  -14.833299   -2.493418   -2.618405    0.808356
  28   -3.145603   -3.145603  -10.939184    6.716154  -11.262036  -15.485066  -15.485484   -3.145185   -3.145265  -10.610270  -14.833299   -2.493418   -2.618405    0.808356
