
 frequency_dependence   1

 band_index    11    40
 sigma_matrix     0   0

 finite_difference_form   1
 finite_difference_spacing  1.000000

 symmetries
 ntran  = 12
 mtrx01 =  1  0  0  0  1  0  0  0  1
 mtrx02 = -1  0  0  0 -1  0  0  0  1
 mtrx03 =  1 -1  0  1  0  0  0  0  1
 mtrx04 =  0  1  0 -1  1  0  0  0  1
 mtrx05 =  0 -1  0  1 -1  0  0  0  1
 mtrx06 = -1  1  0 -1  0  0  0  0  1
 mtrx07 =  1 -1  0  0 -1  0  0  0  1
 mtrx08 = -1  1  0  0  1  0  0  0  1
 mtrx09 =  0  1  0  1  0  0  0  0  1
 mtrx10 = -1  0  0 -1  1  0  0  0  1
 mtrx11 =  1  0  0  1 -1  0  0  0  1
 mtrx12 =  0 -1  0 -1  0  0  0  0  1
 
       k =  0.000000  0.000000  0.000000 ik =   1 spin = 1

   n        elda        ecor           x        sx-x          ch         sig         vxc        eqp0        eqp1         ch'        sig'       eqp0'       eqp1'         Znk
  11    2.703381    2.703381  -41.475238   20.784379  -13.861475  -34.552334  -31.097287   -0.751666    0.088919  -13.291364  -33.982223   -0.181555    0.520327    0.756708
  12    2.703381    2.703381  -41.475238   20.784379  -13.861475  -34.552334  -31.097287   -0.751666    0.088920  -13.291364  -33.982223   -0.181554    0.520327    0.756708
  13    2.786397    2.786397  -42.032816   20.892558  -13.926500  -35.066758  -31.548744   -0.731617    0.126100  -13.339117  -34.479374   -0.144233    0.570275    0.756193
  14    2.838115    2.838115  -23.040591   13.899780   -9.727976  -18.868787  -16.772893    0.742220    1.204881   -9.620898  -18.761710    0.849298    1.288322    0.779254
  15    2.886443    2.886443  -41.731497   20.862306  -13.943233  -34.812424  -31.359496   -0.566485    0.271905  -13.363038  -34.232229    0.013709    0.711225    0.757194
  16    2.886443    2.886443  -41.731497   20.862306  -13.943233  -34.812424  -31.359496   -0.566485    0.271906  -13.363038  -34.232229    0.013710    0.711226    0.757194
  17    3.868012    3.868012  -48.003156   22.464475  -14.957070  -40.495751  -36.578790   -0.048949    0.900831  -14.172209  -39.710890    0.735912    1.495380    0.757521
  18    3.868013    3.868013  -48.003156   22.464475  -14.957070  -40.495751  -36.578790   -0.048949    0.900831  -14.172209  -39.710890    0.735912    1.495380    0.757521
  19    4.084189    4.084189  -48.863621   22.777437  -15.199924  -41.286108  -37.329438    0.127519    1.089052  -14.390800  -40.476984    0.936642    1.701545    0.756984
  20    4.084189    4.084189  -48.863621   22.777437  -15.199924  -41.286108  -37.329438    0.127519    1.089052  -14.390800  -40.476984    0.936642    1.701545    0.756984
  21    4.384701    4.384701  -47.115905   22.362016  -15.081541  -39.835430  -36.048958    0.598229    1.516091  -14.327213  -39.081102    1.352557    2.087566    0.757594
  22    7.701259    7.701259  -32.053132   18.047592  -13.937520  -27.943060  -25.464323    5.222523    5.761813  -13.599270  -27.604810    5.560773    6.026471    0.782433
