# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      11     0.00000     0.00000     0.00000    2.703381109    0.169288109   -2.534093000
     1      11     0.01023     0.00591     0.00000    2.702688708    0.177788163   -2.524900545
     1      11     0.02046     0.01181     0.00000    2.700623806    0.184547911   -2.516075895
     1      11     0.03069     0.01772     0.00000    2.697226799    0.189664866   -2.507561933
     1      11     0.04092     0.02363     0.00000    2.692567462    0.193351690   -2.499215773
     1      11     0.05115     0.02953     0.00000    2.686711959    0.195794078   -2.490917881
     1      11     0.06138     0.03544     0.00000    2.679728330    0.197106070   -2.482622260
     1      11     0.07161     0.04135     0.00000    2.671697998    0.197349448   -2.474348550
     1      11     0.08184     0.04725     0.00000    2.662694795    0.196542917   -2.466151878
     1      11     0.09207     0.05316     0.00000    2.652798460    0.194706958   -2.458091502
     1      11     0.10231     0.05907     0.00000    2.642096347    0.191882292   -2.450214054
     1      11     0.11254     0.06497     0.00000    2.630680426    0.188134249   -2.442546177
     1      11     0.12277     0.07088     0.00000    2.618645892    0.183551404   -2.435094487
     1      11     0.13300     0.07679     0.00000    2.606092172    0.178241992   -2.427850180
     1      11     0.14323     0.08269     0.00000    2.593126042    0.172332741   -2.420793300
     1      11     0.15346     0.08860     0.00000    2.579853119    0.165955964   -2.413897155
     1      11     0.16369     0.09451     0.00000    2.566388703    0.159256957   -2.407131746
     1      11     0.17392     0.10041     0.00000    2.552845155    0.152378310   -2.400466846
     1      11     0.18415     0.10632     0.00000    2.539337625    0.145464993   -2.393872631
     1      11     0.19438     0.11223     0.00000    2.525976381    0.138654931   -2.387321449
     1      11     0.20461     0.11813     0.00000    2.512875211    0.132087211   -2.380788000
     1      11     0.21484     0.12404     0.00000    2.500144579    0.126352161   -2.373792417
     1      11     0.22507     0.12995     0.00000    2.487887169    0.121289766   -2.366597403
     1      11     0.23530     0.13585     0.00000    2.476214256    0.116981963   -2.359232293
     1      11     0.24553     0.14176     0.00000    2.465219387    0.113494999   -2.351724388
     1      11     0.25576     0.14766     0.00000    2.454995943    0.110896459   -2.344099484
     1      11     0.26599     0.15357     0.00000    2.445635523    0.109253847   -2.336381676
     1      11     0.27622     0.15948     0.00000    2.437210365    0.108615825   -2.328594540
     1      11     0.28645     0.16538     0.00000    2.429801641    0.109041458   -2.320760183
     1      11     0.29669     0.17129     0.00000    2.423465951    0.110565896   -2.312900055
     1      11     0.30692     0.17720     0.00000    2.418261051    0.113227349   -2.305033702
     1      11     0.31715     0.18310     0.00000    2.414229929    0.117050908   -2.297179022
     1      11     0.32738     0.18901     0.00000    2.411404519    0.122053360   -2.289351159
     1      11     0.33761     0.19492     0.00000    2.409804616    0.128243150   -2.281561466
     1      11     0.34784     0.20082     0.00000    2.409432742    0.135616709   -2.273816032
     1      11     0.35807     0.20673     0.00000    2.410278275    0.144164971   -2.266113304
     1      11     0.36830     0.21264     0.00000    2.412312945    0.153872333   -2.258440611
     1      11     0.37853     0.21854     0.00000    2.415487699    0.164716818   -2.250770881
     1      11     0.38876     0.22445     0.00000    2.419736350    0.176679570   -2.243056780
     1      11     0.39899     0.23036     0.00000    2.424961697    0.189737841   -2.235223855
