
 a1 =   6.141609905   0.000000000   0.000000000
 a2 =  -3.070804952   5.318790197   0.000000000
 a3 =   0.000000000   0.000000000   9.826575848

 b1 =   1.023051839   0.590659255  -0.000000000
 b2 =   0.000000000   1.181318509   0.000000000
 b3 =   0.000000000  -0.000000000   0.639407399

 volume = 320.994283565

 cutoff = 40.000000000

 grid = ( 13 13 19 ) -- minimal
        ( 13 13 20 ) -- factors 2, 3, 5, 7, 1*11, 1*13
        ( 15 15 20 ) -- factors 2, 3, 5

 gmax = ( 6 6 9 )

 ng = 1387

     n   g1    g2    g3     gx        gy        gz        ekin
 --------------------------------------------------------------------
     1    -6     2    -1    -6.138    -1.181    -0.639    39.483217585
     2    -6     2     0    -6.138    -1.181     0.000    39.074375763
     3    -6     2     1    -6.138    -1.181     0.639    39.483217585
     4    -6     3    -2    -6.138     0.000    -1.279    39.314229633
     5    -6     3    -1    -6.138     0.000    -0.639    38.087704166
     6    -6     3     0    -6.138     0.000     0.000    37.678862344
     7    -6     3     1    -6.138     0.000     0.639    38.087704166
     8    -6     3     2    -6.138     0.000     1.279    39.314229633
     9    -6     4    -1    -6.138     1.181    -0.639    39.483217588
    10    -6     4     0    -6.138     1.181     0.000    39.074375765
    11    -6     4     1    -6.138     1.181     0.639    39.483217588
    12    -5     0    -3    -5.115    -2.953    -1.918    38.567411904
    13    -5     0    -2    -5.115    -2.953    -1.279    36.523202792
    14    -5     0    -1    -5.115    -2.953    -0.639    35.296677326
    15    -5     0     0    -5.115    -2.953     0.000    34.887835503
    16    -5     0     1    -5.115    -2.953     0.639    35.296677326
    17    -5     0     2    -5.115    -2.953     1.279    36.523202792
    18    -5     0     3    -5.115    -2.953     1.918    38.567411904
    19    -5     1    -5    -5.115    -1.772    -3.197    39.526827380
    20    -5     1    -4    -5.115    -1.772    -2.558    35.847250979
    21    -5     1    -3    -5.115    -1.772    -1.918    32.985358223
    22    -5     1    -2    -5.115    -1.772    -1.279    30.941149111
    23    -5     1    -1    -5.115    -1.772    -0.639    29.714623644
    24    -5     1     0    -5.115    -1.772     0.000    29.305781822
    25    -5     1     1    -5.115    -1.772     0.639    29.714623644
    26    -5     1     2    -5.115    -1.772     1.279    30.941149111
    27    -5     1     3    -5.115    -1.772     1.918    32.985358223
    28    -5     1     4    -5.115    -1.772     2.558    35.847250979
    29    -5     1     5    -5.115    -1.772     3.197    39.526827380
    30    -5     2    -5    -5.115    -0.591    -3.197    36.735800540
    31    -5     2    -4    -5.115    -0.591    -2.558    33.056224139
    32    -5     2    -3    -5.115    -0.591    -1.918    30.194331383
    33    -5     2    -2    -5.115    -0.591    -1.279    28.150122271
    34    -5     2    -1    -5.115    -0.591    -0.639    26.923596804
    35    -5     2     0    -5.115    -0.591     0.000    26.514754982
    36    -5     2     1    -5.115    -0.591     0.639    26.923596804
    37    -5     2     2    -5.115    -0.591     1.279    28.150122271
    38    -5     2     3    -5.115    -0.591     1.918    30.194331383
    39    -5     2     4    -5.115    -0.591     2.558    33.056224139
    40    -5     2     5    -5.115    -0.591     3.197    36.735800540
    41    -5     3    -5    -5.115     0.591    -3.197    36.735800541
    42    -5     3    -4    -5.115     0.591    -2.558    33.056224140
    43    -5     3    -3    -5.115     0.591    -1.918    30.194331384
    44    -5     3    -2    -5.115     0.591    -1.279    28.150122272
    45    -5     3    -1    -5.115     0.591    -0.639    26.923596805
    46    -5     3     0    -5.115     0.591     0.000    26.514754983
    47    -5     3     1    -5.115     0.591     0.639    26.923596805
    48    -5     3     2    -5.115     0.591     1.279    28.150122272
    49    -5     3     3    -5.115     0.591     1.918    30.194331384
    50    -5     3     4    -5.115     0.591     2.558    33.056224140
    51    -5     3     5    -5.115     0.591     3.197    36.735800541
    52    -5     4    -5    -5.115     1.772    -3.197    39.526827383
    53    -5     4    -4    -5.115     1.772    -2.558    35.847250982
    54    -5     4    -3    -5.115     1.772    -1.918    32.985358226
    55    -5     4    -2    -5.115     1.772    -1.279    30.941149115
    56    -5     4    -1    -5.115     1.772    -0.639    29.714623648
