# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      43     0.00000     0.00000     0.00000    1.779297007    0.650332255   -1.128964752
     1      43     0.00000     0.00000     0.09897    1.788668810    0.767603244   -1.021065565
     1      43     0.00000     0.00000    -0.09897    1.788668810    0.767603244   -1.021065565
     1      43     0.09897     0.00000     0.00000    1.788668810    0.767603244   -1.021065565
     1      43    -0.09897     0.00000     0.00000    1.788668810    0.767603244   -1.021065565
     1      43     0.00000     0.09897     0.00000    1.788668810    0.767603244   -1.021065565
     1      43     0.00000    -0.09897     0.00000    1.788668810    0.767603244   -1.021065565
     1      43     0.00000     0.00000     0.19795    2.218961770    1.286034287   -0.932927483
     1      43     0.00000     0.00000    -0.19795    2.218961770    1.286034287   -0.932927483
     1      43     0.19795     0.00000     0.00000    2.218961770    1.286034287   -0.932927483
     1      43    -0.19795     0.00000     0.00000    2.218961770    1.286034287   -0.932927483
     1      43     0.00000     0.19795     0.00000    2.218961770    1.286034287   -0.932927483
     1      43     0.00000    -0.19795     0.00000    2.218961770    1.286034287   -0.932927483
     1      43     0.00000     0.00000     0.29692    2.815948451    2.170129267   -0.645819184
     1      43     0.29692     0.00000     0.00000    2.815948451    2.170129267   -0.645819184
     1      43     0.00000     0.29692     0.00000    2.815948451    2.170129267   -0.645819184
     1      43     0.00000     0.09897     0.09897    1.811696261    0.761898520   -1.049797741
     1      43     0.00000    -0.09897     0.09897    1.811696261    0.737009061   -1.074687199
     1      43     0.00000     0.09897    -0.09897    1.811696261    0.737009061   -1.074687199
     1      43     0.00000    -0.09897    -0.09897    1.811696261    0.761898520   -1.049797741
     1      43     0.09897     0.00000    -0.09897    1.811696261    0.737009061   -1.074687199
     1      43    -0.09897     0.00000    -0.09897    1.811696261    0.761898520   -1.049797741
     1      43    -0.09897     0.00000     0.09897    1.811696261    0.737009061   -1.074687199
     1      43     0.09897     0.00000     0.09897    1.811696261    0.761898520   -1.049797741
     1      43     0.09897    -0.09897     0.00000    1.811696261    0.737009061   -1.074687199
     1      43    -0.09897    -0.09897     0.00000    1.811696261    0.761898520   -1.049797741
     1      43    -0.09897     0.09897     0.00000    1.811696261    0.737009061   -1.074687199
     1      43     0.09897     0.09897     0.00000    1.811696261    0.761898520   -1.049797741
     1      43     0.00000     0.09897     0.19795    2.274447566    1.330021117   -0.944426449
     1      43     0.00000    -0.09897     0.19795    2.274447566    1.366265264   -0.908182302
     1      43     0.00000     0.09897    -0.19795    2.274447566    1.366265264   -0.908182302
     1      43     0.00000    -0.09897    -0.19795    2.274447566    1.330021117   -0.944426449
     1      43     0.09897     0.00000    -0.19795    2.274447566    1.366265264   -0.908182302
     1      43    -0.09897     0.00000    -0.19795    2.274447566    1.330021117   -0.944426449
     1      43    -0.09897     0.00000     0.19795    2.274447566    1.366265264   -0.908182302
     1      43     0.09897     0.00000     0.19795    2.274447566    1.330021117   -0.944426449
