# q=  0.00000000E+00  0.00000000E+00  0.10000000E-02  (qpt 1)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.42600615E-06     -0.58272362E-06     -0.34817201E-04     -0.14235264E-02
       2     -0.52155919E-06     -0.58272362E-06     -0.66592303E-04     -0.14235264E-02
       3     -0.56249325E-06     -0.58272362E-06     -0.98804967E-04     -0.14235264E-02
       4     -0.57381821E-06     -0.58272362E-06     -0.12637512E-03     -0.14235264E-02
       5     -0.57868492E-06     -0.58272362E-06     -0.15236364E-03     -0.14235264E-02
       6     -0.58109767E-06     -0.58272362E-06     -0.17770875E-03     -0.14235264E-02
       7     -0.58153321E-06     -0.58272362E-06     -0.19773677E-03     -0.14235264E-02
       8     -0.58181302E-06     -0.58272362E-06     -0.21849731E-03     -0.14235264E-02
       9     -0.58199816E-06     -0.58272362E-06     -0.23947197E-03     -0.14235264E-02
      10     -0.58211752E-06     -0.58272362E-06     -0.26050772E-03     -0.14235264E-02
      11     -0.58218964E-06     -0.58272362E-06     -0.28201356E-03     -0.14235264E-02
      12     -0.58223687E-06     -0.58272362E-06     -0.30232316E-03     -0.14235264E-02
      13     -0.58227573E-06     -0.58272362E-06     -0.32279842E-03     -0.14235264E-02
      14     -0.58230764E-06     -0.58272362E-06     -0.34439285E-03     -0.14235264E-02
      15     -0.58232901E-06     -0.58272362E-06     -0.36780747E-03     -0.14235264E-02
      16     -0.58234614E-06     -0.58272362E-06     -0.39241648E-03     -0.14235264E-02
      17     -0.58236442E-06     -0.58272362E-06     -0.42363473E-03     -0.14235264E-02
      18     -0.58238021E-06     -0.58272362E-06     -0.45498206E-03     -0.14235264E-02
      19     -0.58239890E-06     -0.58272362E-06     -0.49350596E-03     -0.14235264E-02
      20     -0.58241099E-06     -0.58272362E-06     -0.52192244E-03     -0.14235264E-02
      21     -0.58242720E-06     -0.58272362E-06     -0.55155295E-03     -0.14235264E-02
      22     -0.58243879E-06     -0.58272362E-06     -0.58360309E-03     -0.14235264E-02
      23     -0.58245178E-06     -0.58272362E-06     -0.61233906E-03     -0.14235264E-02
      24     -0.58246358E-06     -0.58272362E-06     -0.64584299E-03     -0.14235264E-02
      25     -0.58247353E-06     -0.58272362E-06     -0.67723404E-03     -0.14235264E-02
 
# q=  0.00000000E+00  0.00000000E+00  0.20000000E+00  (qpt 2)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.62853478E-02     -0.13111334E-01     -0.15236682E-04     -0.10097516E-02
       2     -0.97653863E-02     -0.13111334E-01     -0.29373014E-04     -0.10097516E-02
       3     -0.11762881E-01     -0.13111334E-01     -0.43645985E-04     -0.10097516E-02
       4     -0.12520336E-01     -0.13111334E-01     -0.57918635E-04     -0.10097516E-02
       5     -0.12844080E-01     -0.13111334E-01     -0.74084541E-04     -0.10097516E-02
