# k =  0.00000000E+00  0.00000000E+00  0.00000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       1 -0.75097673E+00 -0.10236501E+01 -0.27267335E+00  0.31057463E+00
       2 -0.32930991E+01 -0.19285096E+01  0.13645895E+01  0.31057463E+00
       3 -0.38551381E+01 -0.28541571E+01  0.10009810E+01  0.31057463E+00
       4 -0.51856452E+01 -0.32298482E+01  0.19557970E+01  0.31057463E+00
       5 -0.54864188E+01 -0.49986247E+01  0.48779416E+00  0.31057463E+00
       6 -0.56786128E+01 -0.52788069E+01  0.39980596E+00  0.31057463E+00
       7 -0.60074581E+01 -0.58106186E+01  0.19683947E+00  0.31057463E+00
       8 -0.63961850E+01 -0.60865609E+01  0.30962409E+00  0.31057463E+00
       9 -0.66663406E+01 -0.62779471E+01  0.38839354E+00  0.31057463E+00
      10 -0.68894063E+01 -0.64458516E+01  0.44355468E+00  0.31057463E+00
      11 -0.71450002E+01 -0.66006575E+01  0.54434273E+00  0.31057463E+00
      12 -0.72465910E+01 -0.68399962E+01  0.40659479E+00  0.31057463E+00
      13 -0.73993655E+01 -0.70164323E+01  0.38293319E+00  0.31057463E+00
      14 -0.75981008E+01 -0.71969221E+01  0.40117864E+00  0.31057463E+00
      15 -0.76783989E+01 -0.72965700E+01  0.38182894E+00  0.31057463E+00
      16 -0.77479844E+01 -0.73863300E+01  0.36165436E+00  0.31057463E+00
      17 -0.78273014E+01 -0.74764216E+01  0.35087987E+00  0.31057463E+00
      18 -0.79180910E+01 -0.75667659E+01  0.35132508E+00  0.31057463E+00
      19 -0.79698539E+01 -0.76207692E+01  0.34908472E+00  0.31057463E+00
      20 -0.80108445E+01 -0.76773395E+01  0.33350500E+00  0.31057463E+00
      21 -0.80626861E+01 -0.77289873E+01  0.33369881E+00  0.31057463E+00
      22 -0.81068712E+01 -0.77882533E+01  0.31861790E+00  0.31057463E+00
      23 -0.81466666E+01 -0.78321447E+01  0.31452192E+00  0.31057463E+00
      24 -0.81766378E+01 -0.78737552E+01  0.30288252E+00  0.31057463E+00
      25 -0.82032361E+01 -0.79049074E+01  0.29832869E+00  0.31057463E+00
      26 -0.82331450E+01 -0.79391773E+01  0.29396769E+00  0.31057463E+00
      27 -0.82557451E+01 -0.79625651E+01  0.29318002E+00  0.31057463E+00
      28 -0.82801294E+01 -0.79864254E+01  0.29370401E+00  0.31057463E+00
