# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1       1     0.01347     0.02572     0.03184   -5.874266162   -6.332965206   -0.458699044
     1       1     0.07470     0.08695    -0.02939   -5.732860282   -6.221570027   -0.488709744
     1       1     0.13594     0.14818    -0.09062   -5.335877505   -5.842006018   -0.506128513
     1       1     0.19717     0.20942    -0.15186   -4.711025517   -5.258983418   -0.547957901
     1       1     0.25840     0.27065    -0.21309   -3.958714211   -4.530807751   -0.572093540
     1       1    -0.29269    -0.28044     0.33800   -3.529566568   -4.109414598   -0.579848031
     1       1    -0.23146    -0.21921     0.27677   -4.017245240   -4.589160471   -0.571915231
     1       1    -0.17023    -0.15798     0.21554   -4.767868947   -5.300116596   -0.532247650
     1       1    -0.10899    -0.09675     0.15431   -5.376406634   -5.882366309   -0.505959675
     1       1    -0.04776    -0.03551     0.09307   -5.753690177   -6.231063181   -0.477373004
     1       1     0.07470    -0.03551     0.09307   -5.715465959   -6.208300504   -0.492834545
     1       1     0.13594     0.02572     0.03184   -5.661022585   -6.160572150   -0.499549565
     1       1     0.19717     0.08695    -0.02939   -5.348455367   -5.862800932   -0.514345565
     1       1     0.25840     0.14818    -0.09062   -4.795371011   -5.345924959   -0.550553949
     1       1     0.31963     0.20942    -0.15186   -4.063970549   -4.635926311   -0.571955762
     1       1     0.38087     0.27065    -0.21309   -3.430819200   -4.027469149   -0.596649949
     1       1    -0.17023    -0.28044     0.33800   -3.640605861   -4.234667651   -0.594061790
     1       1    -0.10899    -0.21921     0.27677   -4.381524236   -4.937937391   -0.556413156
     1       1    -0.04776    -0.15798     0.21554   -5.052275092   -5.587272161   -0.534997069
     1       1     0.01347    -0.09675     0.15431   -5.508988479   -6.015958218   -0.506969738
     1       1     0.13594    -0.09675     0.15431   -5.302125339   -5.808254691   -0.506129352
     1       1     0.19717    -0.03551     0.09307   -5.331609448   -5.845532573   -0.513923124
     1       1     0.25840     0.02572     0.03184   -5.103502626   -5.620982340   -0.517479713
     1       1     0.31963     0.08695    -0.02939   -4.628323202   -5.180080970   -0.551757768
     1       1     0.38087     0.14818    -0.09062   -3.944670185   -4.516242437   -0.571572252
     1       1     0.44210     0.20942    -0.15186   -3.212714490   -3.808244049   -0.595529560
     1       1    -0.10899    -0.34168     0.39924   -3.099545193   -3.702402048   -0.602856855
     1       1    -0.04776    -0.28044     0.33800   -3.776449178   -4.346134421   -0.569685243
     1       1     0.01347    -0.21921     0.27677   -4.491112937   -5.037834201   -0.546721263
     1       1     0.07470    -0.15798     0.21554   -5.016858420   -5.539405495   -0.522547075
     1       1     0.19717    -0.15798     0.21554   -4.664077750   -5.218298487   -0.554220738
     1       1     0.25840    -0.09675     0.15431   -4.763667030   -5.314221489   -0.550554459
     1       1     0.31963    -0.03551     0.09307   -4.612552440   -5.169018247   -0.556465808
     1       1     0.38087     0.02572     0.03184   -4.215059951   -4.794328764   -0.579268813
     1       1     0.44210     0.08695    -0.02939   -3.594273028   -4.192524388   -0.598251360
     1       1     0.50333     0.14818    -0.09062   -2.839588775   -3.453924506   -0.614335730
     1       1    -0.04776    -0.40291     0.46047   -2.457876378   -3.081644941   -0.623768563
     1       1     0.01347    -0.34168     0.39924   -3.037545791   -3.643363162   -0.605817371
     1       1     0.07470    -0.28044     0.33800   -3.757067635   -4.345177681   -0.588110046
     1       1     0.13594    -0.21921     0.27677   -4.320997139   -4.886139230   -0.565142091
     1       1     0.25840    -0.21921     0.27677   -3.912183807   -4.484309174   -0.572125367
     1       1     0.31963    -0.15798     0.21554   -4.025602875   -4.598232684   -0.572629809
     1       1     0.38087    -0.09675     0.15431   -3.918222150   -4.489797316   -0.571575166
     1       1     0.44210    -0.03551     0.09307   -3.581182823   -4.176321830   -0.595139007
     1       1     0.50333     0.02572     0.03184   -3.022678193   -3.631310050   -0.608631857
     1       1     0.56456     0.08695    -0.02939   -2.288545605   -2.911299340   -0.622753734
     1       1    -0.59885     0.14818    -0.09062   -1.970023025   -2.605262482   -0.635239458
     1       1    -0.53762     0.20942    -0.15186   -2.581229047   -3.195775262   -0.614546215
     1       1     0.13594    -0.34168     0.39924   -3.143776123   -3.746631726   -0.602855603
     1       1     0.19717    -0.28044     0.33800   -3.603563351   -4.188166627   -0.584603276
     1       1    -0.29269     0.33188    -0.27432   -3.536600753   -4.115403746   -0.578802993
     1       1     0.38087    -0.21921     0.27677   -3.424021721   -4.020622067   -0.596600346
     1       1     0.44210    -0.15798     0.21554   -3.198397910   -3.796541602   -0.598143692
     1       1     0.50333    -0.09675     0.15431   -2.826267980   -3.440852902   -0.614584923
     1       1     0.56456    -0.03551     0.09307   -2.281542902   -2.906537855   -0.624994953
     1       1    -0.59885     0.02572     0.03184   -1.911374516   -2.528300732   -0.616926215
     1       1    -0.53762     0.08695    -0.02939   -2.595771532   -3.210243777   -0.614472245
     1       1    -0.47639     0.14818    -0.09062   -3.099174148   -3.692186896   -0.593012748
     1       1    -0.41516     0.20942    -0.15186   -3.408366240   -3.991063447   -0.582697207
     1       1    -0.35392     0.27065    -0.21309   -3.541843751   -4.127473055   -0.585629304
     1       1    -0.23146     0.27065    -0.21309   -4.068328316   -4.640268518   -0.571940202
     1       1    -0.17023     0.33188    -0.27432   -3.696618137   -4.287421498   -0.590803361
     1       1    -0.10899     0.39311    -0.33555   -3.153026785   -3.755940624   -0.602913839
     1       1    -0.04776     0.45434    -0.39679   -2.502820005   -3.123124194   -0.620304189
     1       1    -0.59885    -0.09675     0.15431   -1.994798501   -2.630101965   -0.635303464
     1       1    -0.53762    -0.03551     0.09307   -2.586822928   -3.203472885   -0.616649957
     1       1    -0.47639     0.02572     0.03184   -3.309198816   -3.917507701   -0.608308886
     1       1    -0.41516     0.08695    -0.02939   -3.846833356   -4.431652273   -0.584818918
     1       1    -0.35392     0.14818    -0.09062   -4.156429279   -4.727611084   -0.571181805
     1       1    -0.29269     0.20942    -0.15186   -4.228398445   -4.799600177   -0.571201732
     1       1    -0.17023     0.20942    -0.15186   -4.815898187   -5.341076373   -0.525178186
     1       1    -0.10899     0.27065    -0.21309   -4.443625270   -5.000056716   -0.556431446
     1       1    -0.04776     0.33188    -0.27432   -3.849441279   -4.412747972   -0.563306693
     1       1     0.01347     0.39311    -0.33555   -3.111664419   -3.717689210   -0.606024791
     1       1    -0.53762    -0.15798     0.21554   -2.611290327   -3.222540818   -0.611250491
     1       1    -0.47639    -0.09675     0.15431   -3.081540322   -3.674707715   -0.593167393
     1       1    -0.41516    -0.03551     0.09307   -3.833073832   -4.414657101   -0.581583269
     1       1    -0.35392     0.02572     0.03184   -4.437650139   -4.985740725   -0.548090587
     1       1    -0.29269     0.08695    -0.02939   -4.814622669   -5.347017755   -0.532395086
     1       1    -0.23146     0.14818    -0.09062   -4.942086347   -5.470303644   -0.528217297
     1       1    -0.10899     0.14818    -0.09062   -5.410508945   -5.916469283   -0.505960338
     1       1    -0.04776     0.20942    -0.15186   -5.102625294   -5.633518148   -0.530892854
     1       1     0.01347     0.27065    -0.21309   -4.555396276   -5.102117283   -0.546721007
     1       1     0.07470     0.33188    -0.27432   -3.828091352   -4.410597519   -0.582506167
     1       1     0.13594     0.39311    -0.33555   -3.185650120   -3.788442203   -0.602792083
     1       1    -0.41516    -0.15798     0.21554   -3.386372482   -3.972838749   -0.586466267
     1       1    -0.35392    -0.09675     0.15431   -4.128399488   -4.699578136   -0.571178647
     1       1    -0.29269    -0.03551     0.09307   -4.798549831   -5.336216146   -0.537666315
     1       1    -0.23146     0.02572     0.03184   -5.255124938   -5.772225613   -0.517100675
     1       1    -0.17023     0.08695    -0.02939   -5.462193509   -5.972165340   -0.509971830
     1       1    -0.04776     0.08695    -0.02939   -5.771108232   -6.243231644   -0.472123412
     1       1     0.01347     0.14818    -0.09062   -5.543501133   -6.050475682   -0.506974549
     1       1     0.07470     0.20942    -0.15186   -5.066942228   -5.584699336   -0.517757108
     1       1     0.13594     0.27065    -0.21309   -4.381656859   -4.946851446   -0.565194588
     1       1     0.19717     0.33188    -0.27432   -3.652054924   -4.233207140   -0.581152216
     1       1    -0.35392    -0.21921     0.27677   -3.523016977   -4.108862445   -0.585845469
     1       1    -0.29269    -0.15798     0.21554   -4.187289723   -4.759000162   -0.571710439
     1       1    -0.23146    -0.09675     0.15431   -4.909731177   -5.437953604   -0.528222427
     1       1    -0.17023    -0.03551     0.09307   -5.445159401   -5.954151943   -0.508992541
     1       1    -0.10899     0.02572     0.03184   -5.737792297   -6.217300119   -0.479507822
     1       1    -0.04776     0.08695     0.09307   -5.680770411   -6.180847557   -0.500077146
     1       1     0.01347     0.14818     0.03184   -5.626113219   -6.133732293   -0.507619074
     1       1     0.07470     0.20942    -0.02939   -5.313534704   -5.829546123   -0.516011419
     1       1     0.13594     0.27065    -0.09062   -4.760546287   -5.320888141   -0.560341854
     1       1     0.19717     0.33188    -0.15186   -4.029161838   -4.600957677   -0.571795839
     1       1     0.25840     0.39311    -0.21309   -3.395929414   -3.996577746   -0.600648332
     1       1    -0.29269    -0.15798     0.33800   -3.607344803   -4.206200431   -0.598855628
     1       1    -0.23146    -0.09675     0.27677   -4.348565339   -4.900129059   -0.551563720
     1       1    -0.17023    -0.03551     0.21554   -5.018749121   -5.560008808   -0.541259688
     1       1    -0.10899     0.02572     0.15431   -5.474698782   -5.980934604   -0.506235823
     1       1     0.01347     0.02572     0.15431   -5.608635139   -6.118042475   -0.509407336
     1       1     0.07470     0.08695     0.09307   -5.642695938   -6.144065461   -0.501369522
     1       1     0.13594     0.14818     0.03184   -5.416730563   -5.922975869   -0.506245307
     1       1     0.19717     0.20942    -0.02939   -4.942441104   -5.485079140   -0.542638036
