# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1       1     0.00000     0.30616     0.61232   -1.578588282   -2.202981412   -0.624393130
     1       1    -0.00680     0.30616     0.60552   -1.650708922   -2.271330466   -0.620621544
     1       1    -0.01361     0.30616     0.59872   -1.723193603   -2.341250717   -0.618057114
     1       1    -0.02041     0.30616     0.59191   -1.795982130   -2.412771895   -0.616789765
     1       1    -0.02721     0.30616     0.58511   -1.868821148   -2.485196452   -0.616375304
     1       1    -0.03402     0.30616     0.57831   -1.940914733   -2.557259513   -0.616344780
     1       1    -0.04082     0.30616     0.57150   -2.012378543   -2.628791581   -0.616413037
     1       1    -0.04763     0.30616     0.56470   -2.083240116   -2.699711990   -0.616471874
     1       1    -0.05443     0.30616     0.55790   -2.153118134   -2.769623435   -0.616505301
     1       1    -0.06123     0.30616     0.55109   -2.222255140   -2.838772132   -0.616516993
     1       1    -0.06804     0.30616     0.54429   -2.290039133   -2.906549861   -0.616510729
     1       1    -0.07484     0.30616     0.53748   -2.356753940   -2.973243691   -0.616489751
     1       1    -0.08164     0.30616     0.53068   -2.422162746   -3.038618618   -0.616455872
     1       1    -0.08845     0.30616     0.52388   -2.486165615   -3.102558219   -0.616392604
     1       1    -0.09525     0.30616     0.51707   -2.548701314   -3.164909713   -0.616208399
     1       1    -0.10205     0.30616     0.51027   -2.609711707   -3.225399133   -0.615687426
     1       1    -0.10886     0.30616     0.50347   -2.669122146   -3.283640015   -0.614517869
     1       1    -0.11566     0.30616     0.49666   -2.726901476   -3.339376877   -0.612475401
     1       1    -0.12246     0.30616     0.48986   -2.782949544   -3.392711549   -0.609762005
     1       1    -0.12927     0.30616     0.48306   -2.837244922   -3.444338042   -0.607093120
     1       1    -0.13607     0.30616     0.47625   -2.889262472   -3.494420983   -0.605158510
     1       1    -0.14288     0.30616     0.46945   -2.939926621   -3.544038893   -0.604112272
     1       1    -0.14968     0.30616     0.46265   -2.988609205   -3.592308278   -0.603699073
     1       1    -0.15648     0.30616     0.45584   -3.035510765   -3.639110715   -0.603599950
     1       1    -0.16329     0.30616     0.44904   -3.080510072   -3.684113732   -0.603603660
     1       1    -0.17009     0.30616     0.44223   -3.123622072   -3.727244709   -0.603622637
     1       1    -0.17689     0.30616     0.43543   -3.164671298   -3.768311275   -0.603639977
     1       1    -0.18370     0.30616     0.42863   -3.203671547   -3.807326720   -0.603655173
     1       1    -0.19050     0.30616     0.42182   -3.240734869   -3.844403321   -0.603668452
     1       1    -0.19730     0.30616     0.41502   -3.275738929   -3.879418979   -0.603680050
     1       1    -0.20411     0.30616     0.40822   -3.308693466   -3.912381973   -0.603688507
     1       1    -0.21091     0.30616     0.40141   -3.339827200   -3.943486752   -0.603659552
     1       1    -0.21772     0.30616     0.39461   -3.368637813   -3.972056952   -0.603419139
     1       1    -0.22452     0.30616     0.38781   -3.395358989   -3.997913344   -0.602554355
     1       1    -0.23132     0.30616     0.38100   -3.419787338   -4.020243017   -0.600455678
     1       1    -0.23813     0.30616     0.37420   -3.442435082   -4.039093705   -0.596658623
     1       1    -0.24493     0.30616     0.36739   -3.462748388   -4.054253267   -0.591504880
     1       1    -0.25173     0.30616     0.36059   -3.481114734   -4.067464008   -0.586349273
     1       1    -0.25854     0.30616     0.35379   -3.497244493   -4.079791935   -0.582547442
     1       1    -0.26534     0.30616     0.34698   -3.511235300   -4.091677656   -0.580442356
     1       1    -0.27214     0.30616     0.34018   -3.523082143   -4.102652535   -0.579570392
     1       1    -0.27895     0.30616     0.33338   -3.532780829   -4.112102943   -0.579322113
     1       1    -0.28575     0.30616     0.32657   -3.540327963   -4.119612307   -0.579284343
     1       1    -0.29256     0.30616     0.31977   -3.545720924   -4.125003609   -0.579282685
     1       1    -0.29936     0.30616     0.31297   -3.548957851   -4.128240526   -0.579282675
     1       1    -0.30616     0.30616     0.30616   -3.550023892   -4.129306565   -0.579282674
     1       1    -0.30004     0.30004     0.30004   -3.555930537   -4.134944947   -0.579014410
     1       1    -0.29392     0.29392     0.29392   -3.573371522   -4.151611329   -0.578239807
     1       1    -0.28779     0.28779     0.28779   -3.601700529   -4.178754499   -0.577053970
     1       1    -0.28167     0.28167     0.28167   -3.639924274   -4.215551563   -0.575627289
     1       1    -0.27555     0.27555     0.27555   -3.686841506   -4.261045971   -0.574204465
     1       1    -0.26942     0.26942     0.26942   -3.741165975   -4.314223638   -0.573057663
     1       1    -0.26330     0.26330     0.26330   -3.801625413   -4.373988611   -0.572363198
     1       1    -0.25718     0.25718     0.25718   -3.867548836   -4.439612890   -0.572064055
     1       1    -0.25105     0.25105     0.25105   -3.936795014   -4.508743294   -0.571948280
     1       1    -0.24493     0.24493     0.24493   -4.008643625   -4.580559209   -0.571915584
     1       1    -0.23881     0.23881     0.23881   -4.083285576   -4.655227378   -0.571941802
     1       1    -0.23268     0.23268     0.23268   -4.158980721   -4.730982188   -0.572001466
     1       1    -0.22656     0.22656     0.22656   -4.235506961   -4.807346329   -0.571839368
     1       1    -0.22044     0.22044     0.22044   -4.312367661   -4.883082604   -0.570714944
     1       1    -0.21431     0.21431     0.21431   -4.388748044   -4.956814941   -0.568066898
     1       1    -0.20819     0.20819     0.20819   -4.465076523   -5.028985827   -0.563909304
     1       1    -0.20207     0.20207     0.20207   -4.540583256   -5.099190609   -0.558607353
     1       1    -0.19594     0.19594     0.19594   -4.615189982   -5.167769492   -0.552579510
     1       1    -0.18982     0.18982     0.18982   -4.688590162   -5.234741137   -0.546150975
     1       1    -0.18370     0.18370     0.18370   -4.760599379   -5.300137187   -0.539537808
     1       1    -0.17757     0.17757     0.17757   -4.831059477   -5.363952023   -0.532892546
     1       1    -0.17145     0.17145     0.17145   -4.899873175   -5.426242421   -0.526369247
     1       1    -0.16533     0.16533     0.16533   -4.966771346   -5.486961366   -0.520190020
     1       1    -0.15920     0.15920     0.15920   -5.031832815   -5.546525893   -0.514693077
     1       1    -0.15308     0.15308     0.15308   -5.094900317   -5.605220391   -0.510320074
     1       1    -0.14696     0.14696     0.14696   -5.155895991   -5.663364618   -0.507468627
     1       1    -0.14083     0.14083     0.14083   -5.214751522   -5.720934033   -0.506182511
     1       1    -0.13471     0.13471     0.13471   -5.270959083   -5.776868025   -0.505908942
     1       1    -0.12859     0.12859     0.12859   -5.325362780   -5.831260520   -0.505897740
     1       1    -0.12246     0.12246     0.12246   -5.377466025   -5.883363214   -0.505897189
     1       1    -0.11634     0.11634     0.11634   -5.427227146   -5.933124818   -0.505897672
     1       1    -0.11022     0.11022     0.11022   -5.474609103   -5.980501559   -0.505892456
     1       1    -0.10410     0.10410     0.10410   -5.519578921   -6.025284798   -0.505705877
     1       1    -0.09797     0.09797     0.09797   -5.562261130   -6.067073714   -0.504812584
     1       1    -0.09185     0.09185     0.09185   -5.602319625   -6.105141214   -0.502821589
     1       1    -0.08573     0.08573     0.08573   -5.639887013   -6.139644034   -0.499757021
     1       1    -0.07960     0.07960     0.07960   -5.674942430   -6.170833729   -0.495891299
     1       1    -0.07348     0.07348     0.07348   -5.707467293   -6.198996819   -0.491529527
     1       1    -0.06736     0.06736     0.06736   -5.737438336   -6.224344332   -0.486905996
     1       1    -0.06123     0.06123     0.06123   -5.764854582   -6.247029127   -0.482174545
     1       1    -0.05511     0.05511     0.05511   -5.789696161   -6.267138456   -0.477442295
     1       1    -0.04899     0.04899     0.04899   -5.811951721   -6.284768148   -0.472816426
     1       1    -0.04286     0.04286     0.04286   -5.831611378   -6.300062346   -0.468450968
     1       1    -0.03674     0.03674     0.03674   -5.848666591   -6.313247193   -0.464580602
     1       1    -0.03062     0.03062     0.03062   -5.863110187   -6.324621247   -0.461511061
     1       1    -0.02449     0.02449     0.02449   -5.874932627   -6.334448174   -0.459515547
     1       1    -0.01837     0.01837     0.01837   -5.884136362   -6.342755199   -0.458618837
     1       1    -0.01225     0.01225     0.01225   -5.890567457   -6.348997488   -0.458430031
     1       1    -0.00612     0.00612     0.00612   -5.894441754   -6.352865232   -0.458423477
     1       1     0.00000     0.00000     0.00000   -5.895757253   -6.354180730   -0.458423477
     1       1     0.00000     0.00000     0.01225   -5.894003228   -6.352426705   -0.458423477
     1       1     0.00000     0.00000     0.02449   -5.888837454   -6.347269032   -0.458431578
     1       1     0.00000     0.00000     0.03674   -5.880259739   -6.338924680   -0.458664941
     1       1     0.00000     0.00000     0.04899   -5.867983015   -6.327756395   -0.459773380
     1       1     0.00000     0.00000     0.06123   -5.852204348   -6.314444715   -0.462240367
     1       1     0.00000     0.00000     0.07348   -5.832931540   -6.298967185   -0.466035645
     1       1     0.00000     0.00000     0.08573   -5.810160376   -6.280982164   -0.470821788
     1       1     0.00000     0.00000     0.09797   -5.783900000   -6.260121017   -0.476221017
     1       1     0.00000     0.00000     0.11022   -5.754115643   -6.236058911   -0.481943268
     1       1     0.00000     0.00000     0.12246   -5.720894626   -6.208692728   -0.487798102
     1       1     0.00000     0.00000     0.13471   -5.684204382   -6.177857318   -0.493652936
     1       1     0.00000     0.00000     0.14696   -5.644053239   -6.143428426   -0.499375187
     1       1     0.00000     0.00000     0.15920   -5.600450390   -6.105224806   -0.504774416
     1       1     0.00000     0.00000     0.17145   -5.553405910   -6.062966469   -0.509560559
     1       1     0.00000     0.00000     0.18370   -5.502930787   -6.016286624   -0.513355837
     1       1     0.00000     0.00000     0.19594   -5.449036937   -5.964859761   -0.515822824
     1       1     0.00000     0.00000     0.20819   -5.392017167   -5.908948431   -0.516931263
     1       1     0.00000     0.00000     0.22044   -5.331325504   -5.848490130   -0.517164626
     1       1     0.00000     0.00000     0.23268   -5.267256814   -5.784429541   -0.517172727
     1       1     0.00000     0.00000     0.24493   -5.199827033   -5.716999760   -0.517172727
     1       1     0.00000     0.00000     0.25718   -5.129053179   -5.646225906   -0.517172728
     1       1     0.00000     0.00000     0.26942   -5.054953395   -5.572138726   -0.517185330
     1       1     0.00000     0.00000     0.28167   -4.977546989   -5.495095374   -0.517548386
     1       1     0.00000     0.00000     0.29392   -4.897148806   -5.416421654   -0.519272848
     1       1     0.00000     0.00000     0.30616   -4.813192269   -5.336303148   -0.523110879
     1       1     0.00000     0.00000     0.31841   -4.725994480   -5.255009888   -0.529015408
     1       1     0.00000     0.00000     0.33066   -4.635338446   -5.171799928   -0.536461482
     1       1     0.00000     0.00000     0.34290   -4.541725232   -5.086586601   -0.544861368
     1       1     0.00000     0.00000     0.35515   -4.444948243   -4.998712042   -0.553763798
     1       1     0.00000     0.00000     0.36739   -4.345036292   -4.907908788   -0.562872495
     1       1     0.00000     0.00000     0.37964   -4.242019770   -4.814000962   -0.571981193
     1       1     0.00000     0.00000     0.39189   -4.136245870   -4.717129493   -0.580883623
     1       1     0.00000     0.00000     0.40413   -4.027118819   -4.616402329   -0.589283509
     1       1     0.00000     0.00000     0.41638   -3.914988507   -4.511718090   -0.596729583
     1       1     0.00000     0.00000     0.42863   -3.799892300   -4.402526412   -0.602634112
     1       1     0.00000     0.00000     0.44087   -3.681657464   -4.288129607   -0.606472143
     1       1     0.00000     0.00000     0.45312   -3.560742267   -4.168938872   -0.608196605
     1       1     0.00000     0.00000     0.46537   -3.436984964   -4.045544624   -0.608559661
     1       1     0.00000     0.00000     0.47761   -3.310431031   -3.919003294   -0.608572263
     1       1     0.00000     0.00000     0.48986   -3.181128154   -3.789700418   -0.608572264
     1       1     0.00000     0.00000     0.50211   -3.049126298   -3.657698562   -0.608572264
     1       1     0.00000     0.00000     0.51435   -2.914009750   -3.522585154   -0.608575405
     1       1     0.00000     0.00000     0.52660   -2.776753626   -3.385419501   -0.608665875
     1       1     0.00000     0.00000     0.53885   -2.636962759   -3.246058358   -0.609095598
     1       1     0.00000     0.00000     0.55109   -2.495139006   -3.105191013   -0.610052006
     1       1     0.00000     0.00000     0.56334   -2.351057987   -2.962581357   -0.611523370
     1       1     0.00000     0.00000     0.57559   -2.204040476   -2.817419351   -0.613378875
     1       1     0.00000     0.00000     0.58783   -2.054993254   -2.670465317   -0.615472063
     1       1     0.00000     0.00000     0.60008   -1.903489868   -2.521180349   -0.617690481
     1       1     0.00000     0.00000     0.61232   -1.749849627   -2.369807242   -0.619957615
     1       1     0.00000     0.01093     0.61232   -1.749364775   -2.369301145   -0.619936370
     1       1     0.00000     0.02187     0.61232   -1.747914716   -2.367814516   -0.619899799
     1       1    -0.00000     0.03280     0.61232   -1.745396503   -2.365321059   -0.619924555
     1       1    -0.00000     0.04374     0.61232   -1.741827422   -2.362375283   -0.620547861
     1       1     0.00000     0.05467     0.61232   -1.737595027   -2.360402374   -0.622807347
     1       1    -0.00000     0.06561     0.61232   -1.732454104   -2.359032986   -0.626578883
     1       1     0.00000     0.07654     0.61232   -1.726554686   -2.356107368   -0.629552682
     1       1     0.00000     0.08747     0.61232   -1.719772521   -2.350542767   -0.630770247
     1       1     0.00000     0.09841     0.61232   -1.712575445   -2.343674141   -0.631098696
     1       1    -0.00000     0.10934     0.61232   -1.704631969   -2.335869704   -0.631237736
     1       1     0.00000     0.12028     0.61232   -1.696167314   -2.327509594   -0.631342280
     1       1     0.00000     0.13121     0.61232   -1.687179000   -2.318594316   -0.631415316
     1       1    -0.00000     0.14215     0.61232   -1.677960251   -2.309414071   -0.631453820
     1       1     0.00000     0.15308     0.61232   -1.668521424   -2.299916009   -0.631394585
     1       1     0.00000     0.16402     0.61232   -1.658976479   -2.289774410   -0.630797930
     1       1     0.00000     0.17495     0.61232   -1.649444623   -2.278230563   -0.628785940
     1       1     0.00000     0.18588     0.61232   -1.639824876   -2.265349011   -0.625524135
     1       1     0.00000     0.19682     0.61232   -1.630687945   -2.253852034   -0.623164088
     1       1     0.00000     0.20775     0.61232   -1.621880847   -2.244512377   -0.622631530
     1       1    -0.00000     0.21869     0.61232   -1.613843765   -2.236793503   -0.622949738
