# q=  0.00000000E+00  0.00000000E+00  0.10000000E-02  (qpt 1)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.31258751E-06     -0.43646579E-06     -0.25264966E-04     -0.12467717E-02
       2     -0.38009724E-06     -0.43646579E-06     -0.50001686E-04     -0.12467717E-02
       3     -0.41668935E-06     -0.43646579E-06     -0.73878098E-04     -0.12467717E-02
       4     -0.42810250E-06     -0.43646579E-06     -0.93653678E-04     -0.12467717E-02
       5     -0.43247286E-06     -0.43646579E-06     -0.11594968E-03     -0.12467717E-02
       6     -0.43486529E-06     -0.43646579E-06     -0.13443392E-03     -0.12467717E-02
       7     -0.43533446E-06     -0.43646579E-06     -0.15091910E-03     -0.12467717E-02
       8     -0.43562735E-06     -0.43646579E-06     -0.16753072E-03     -0.12467717E-02
       9     -0.43577878E-06     -0.43646579E-06     -0.18328093E-03     -0.12467717E-02
      10     -0.43590584E-06     -0.43646579E-06     -0.20132044E-03     -0.12467717E-02
      11     -0.43597389E-06     -0.43646579E-06     -0.21874171E-03     -0.12467717E-02
      12     -0.43600795E-06     -0.43646579E-06     -0.23426290E-03     -0.12467717E-02
      13     -0.43605424E-06     -0.43646579E-06     -0.25249412E-03     -0.12467717E-02
      14     -0.43608045E-06     -0.43646579E-06     -0.27010159E-03     -0.12467717E-02
      15     -0.43610233E-06     -0.43646579E-06     -0.29057451E-03     -0.12467717E-02
      16     -0.43611708E-06     -0.43646579E-06     -0.31184630E-03     -0.12467717E-02
      17     -0.43613574E-06     -0.43646579E-06     -0.33985623E-03     -0.12467717E-02
      18     -0.43614965E-06     -0.43646579E-06     -0.36911696E-03     -0.12467717E-02
      19     -0.43616377E-06     -0.43646579E-06     -0.39615099E-03     -0.12467717E-02
      20     -0.43617859E-06     -0.43646579E-06     -0.42363007E-03     -0.12467717E-02
      21     -0.43619090E-06     -0.43646579E-06     -0.45353774E-03     -0.12467717E-02
      22     -0.43620285E-06     -0.43646579E-06     -0.47889097E-03     -0.12467717E-02
      23     -0.43621431E-06     -0.43646579E-06     -0.50822021E-03     -0.12467717E-02
      24     -0.43622547E-06     -0.43646579E-06     -0.53924604E-03     -0.12467717E-02
      25     -0.43623442E-06     -0.43646579E-06     -0.56730433E-03     -0.12467717E-02
 
# q=  0.00000000E+00  0.00000000E+00  0.25000000E+00  (qpt 2)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.52252007E-02     -0.13407079E-01     -0.16726606E-04     -0.77177419E-03
       2     -0.88286563E-02     -0.13407079E-01     -0.33002801E-04     -0.77177419E-03
       3     -0.11314254E-01     -0.13407079E-01     -0.48909445E-04     -0.77177419E-03
       4     -0.12411035E-01     -0.13407079E-01     -0.63477641E-04     -0.77177419E-03
       5     -0.12931029E-01     -0.13407079E-01     -0.79358422E-04     -0.77177419E-03
       6     -0.13171180E-01     -0.13407079E-01     -0.92683896E-04     -0.77177419E-03
       7     -0.13274639E-01     -0.13407079E-01     -0.10438807E-03     -0.77177419E-03
       8     -0.13324101E-01     -0.13407079E-01     -0.11609969E-03     -0.77177419E-03
       9     -0.13345577E-01     -0.13407079E-01     -0.12732599E-03     -0.77177419E-03
      10     -0.13361199E-01     -0.13407079E-01     -0.14052804E-03     -0.77177419E-03
      11     -0.13368591E-01     -0.13407079E-01     -0.15250734E-03     -0.77177419E-03
      12     -0.13373300E-01     -0.13407079E-01     -0.16420935E-03     -0.77177419E-03
      13     -0.13377472E-01     -0.13407079E-01     -0.17784060E-03     -0.77177419E-03
      14     -0.13379843E-01     -0.13407079E-01     -0.19085384E-03     -0.77177419E-03
      15     -0.13381912E-01     -0.13407079E-01     -0.20450077E-03     -0.77177419E-03
      16     -0.13383494E-01     -0.13407079E-01     -0.21817771E-03     -0.77177419E-03
      17     -0.13384973E-01     -0.13407079E-01     -0.23674012E-03     -0.77177419E-03
      18     -0.13386029E-01     -0.13407079E-01     -0.25273441E-03     -0.77177419E-03
      19     -0.13387213E-01     -0.13407079E-01     -0.26828637E-03     -0.77177419E-03
      20     -0.13388335E-01     -0.13407079E-01     -0.28354754E-03     -0.77177419E-03
      21     -0.13389201E-01     -0.13407079E-01     -0.30130983E-03     -0.77177419E-03
      22     -0.13390122E-01     -0.13407079E-01     -0.31705856E-03     -0.77177419E-03
      23     -0.13390947E-01     -0.13407079E-01     -0.33438939E-03     -0.77177419E-03
      24     -0.13391662E-01     -0.13407079E-01     -0.35169304E-03     -0.77177419E-03
      25     -0.13392238E-01     -0.13407079E-01     -0.36938018E-03     -0.77177419E-03
 
# q=  0.00000000E+00  0.00000000E+00  0.50000000E+00  (qpt 3)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.48830368E-02     -0.23272395E-01     -0.21687452E-04     -0.10481478E-02
       2     -0.93850764E-02     -0.23272395E-01     -0.43281751E-04     -0.10481478E-02
       3     -0.13422398E-01     -0.23272395E-01     -0.65803639E-04     -0.10481478E-02
       4     -0.16611407E-01     -0.23272395E-01     -0.82479209E-04     -0.10481478E-02
       5     -0.18947972E-01     -0.23272395E-01     -0.97824179E-04     -0.10481478E-02
       6     -0.20658822E-01     -0.23272395E-01     -0.11248978E-03     -0.10481478E-02
       7     -0.21502033E-01     -0.23272395E-01     -0.12483314E-03     -0.10481478E-02
       8     -0.22083129E-01     -0.23272395E-01     -0.13913999E-03     -0.10481478E-02
       9     -0.22444032E-01     -0.23272395E-01     -0.15171147E-03     -0.10481478E-02
      10     -0.22679578E-01     -0.23272395E-01     -0.16730056E-03     -0.10481478E-02
      11     -0.22862807E-01     -0.23272395E-01     -0.18090547E-03     -0.10481478E-02
      12     -0.22942723E-01     -0.23272395E-01     -0.19329512E-03     -0.10481478E-02
      13     -0.23006438E-01     -0.23272395E-01     -0.20930658E-03     -0.10481478E-02
      14     -0.23045610E-01     -0.23272395E-01     -0.22360593E-03     -0.10481478E-02
      15     -0.23077573E-01     -0.23272395E-01     -0.24121494E-03     -0.10481478E-02
      16     -0.23102490E-01     -0.23272395E-01     -0.25726326E-03     -0.10481478E-02
      17     -0.23118697E-01     -0.23272395E-01     -0.27959458E-03     -0.10481478E-02
      18     -0.23131608E-01     -0.23272395E-01     -0.30009686E-03     -0.10481478E-02
      19     -0.23142928E-01     -0.23272395E-01     -0.32010666E-03     -0.10481478E-02
      20     -0.23151662E-01     -0.23272395E-01     -0.34243320E-03     -0.10481478E-02
      21     -0.23158655E-01     -0.23272395E-01     -0.36749429E-03     -0.10481478E-02
      22     -0.23166165E-01     -0.23272395E-01     -0.38675219E-03     -0.10481478E-02
      23     -0.23171047E-01     -0.23272395E-01     -0.41128259E-03     -0.10481478E-02
      24     -0.23175833E-01     -0.23272395E-01     -0.43911170E-03     -0.10481478E-02
      25     -0.23179155E-01     -0.23272395E-01     -0.46223180E-03     -0.10481478E-02
 
# q=  0.00000000E+00  0.25000000E+00  0.25000000E+00  (qpt 4)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.66250959E-02     -0.17315938E-01     -0.14987410E-04     -0.74523603E-03
       2     -0.11481126E-01     -0.17315938E-01     -0.30145353E-04     -0.74523603E-03
       3     -0.14637347E-01     -0.17315938E-01     -0.46820224E-04     -0.74523603E-03
       4     -0.16001560E-01     -0.17315938E-01     -0.61571357E-04     -0.74523603E-03
       5     -0.16621047E-01     -0.17315938E-01     -0.76998964E-04     -0.74523603E-03
       6     -0.16921064E-01     -0.17315938E-01     -0.90296856E-04     -0.74523603E-03
       7     -0.17071506E-01     -0.17315938E-01     -0.10190286E-03     -0.74523603E-03
       8     -0.17147573E-01     -0.17315938E-01     -0.11390990E-03     -0.74523603E-03
       9     -0.17198331E-01     -0.17315938E-01     -0.12445939E-03     -0.74523603E-03
      10     -0.17240065E-01     -0.17315938E-01     -0.13720393E-03     -0.74523603E-03
      11     -0.17256248E-01     -0.17315938E-01     -0.14934818E-03     -0.74523603E-03
      12     -0.17264158E-01     -0.17315938E-01     -0.16047645E-03     -0.74523603E-03
      13     -0.17272248E-01     -0.17315938E-01     -0.17388007E-03     -0.74523603E-03
      14     -0.17276418E-01     -0.17315938E-01     -0.18629069E-03     -0.74523603E-03
      15     -0.17279050E-01     -0.17315938E-01     -0.20029764E-03     -0.74523603E-03
      16     -0.17281108E-01     -0.17315938E-01     -0.21334412E-03     -0.74523603E-03
      17     -0.17283354E-01     -0.17315938E-01     -0.23066343E-03     -0.74523603E-03
      18     -0.17285202E-01     -0.17315938E-01     -0.24439336E-03     -0.74523603E-03
      19     -0.17286974E-01     -0.17315938E-01     -0.25875602E-03     -0.74523603E-03
      20     -0.17288588E-01     -0.17315938E-01     -0.27381460E-03     -0.74523603E-03
      21     -0.17289933E-01     -0.17315938E-01     -0.29132176E-03     -0.74523603E-03
      22     -0.17291178E-01     -0.17315938E-01     -0.30654513E-03     -0.74523603E-03
      23     -0.17292484E-01     -0.17315938E-01     -0.32299410E-03     -0.74523603E-03
      24     -0.17293524E-01     -0.17315938E-01     -0.33955544E-03     -0.74523603E-03
      25     -0.17294360E-01     -0.17315938E-01     -0.35677345E-03     -0.74523603E-03
 
# q=  0.00000000E+00  0.25000000E+00  0.50000000E+00  (qpt 5)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
