# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.25217795E+00  -8.12153964E+00   1.30638307E-01
# Error est. for CH(vbm) CH(cbm) diff =   5.51090420E-01   5.67850833E-01   1.67604134E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -7.21585090E-01  -8.04059016E-01  -8.24739258E-02
      2  -2.29238812E+00  -1.45438947E+00   8.37998654E-01
      3  -3.65652256E+00  -2.10383154E+00   1.55269102E+00
      4  -5.11053856E+00  -2.65776601E+00   2.45277255E+00
      5  -5.28422774E+00  -3.64362342E+00   1.64060432E+00
      6  -5.48694998E+00  -4.59274644E+00   8.94203538E-01
      7  -5.79640918E+00  -5.53472005E+00   2.61689130E-01
      8  -6.05083132E+00  -5.87233592E+00   1.78495399E-01
      9  -6.28895769E+00  -6.06684381E+00   2.22113884E-01
     10  -6.47129583E+00  -6.28475064E+00   1.86545192E-01
     11  -6.59850425E+00  -6.43736559E+00   1.61138659E-01
     12  -6.71779456E+00  -6.58207570E+00   1.35718869E-01
     13  -6.86207792E+00  -6.71740936E+00   1.44668563E-01
     14  -6.94246778E+00  -6.83577668E+00   1.06691097E-01
     15  -7.01638854E+00  -6.91763531E+00   9.87532314E-02
     16  -7.10800659E+00  -6.98866598E+00   1.19340611E-01
     17  -7.18177010E+00  -7.06009991E+00   1.21670191E-01
     18  -7.24101013E+00  -7.11022412E+00   1.30786003E-01
     19  -7.30196678E+00  -7.16863714E+00   1.33329648E-01
     20  -7.36038401E+00  -7.22282964E+00   1.37554370E-01
     21  -7.40174435E+00  -7.27315901E+00   1.28585341E-01
     22  -7.44306852E+00  -7.31959620E+00   1.23472324E-01
     23  -7.48237220E+00  -7.35546570E+00   1.26906499E-01
     24  -7.50975711E+00  -7.38436368E+00   1.25393428E-01
     25  -7.54957363E+00  -7.41320936E+00   1.36364270E-01
