# q=  0.00000000E+00  0.00000000E+00  0.10000000E-02  (qpt 1)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.31805371E-06     -0.45910338E-06     -0.31072630E-04     -0.13098267E-02
       2     -0.39828186E-06     -0.45910338E-06     -0.59751887E-04     -0.13098267E-02
       3     -0.43941888E-06     -0.45910338E-06     -0.88715067E-04     -0.13098267E-02
       4     -0.45072691E-06     -0.45910338E-06     -0.11352466E-03     -0.13098267E-02
       5     -0.45531365E-06     -0.45910338E-06     -0.13690491E-03     -0.13098267E-02
       6     -0.45742975E-06     -0.45910338E-06     -0.15953387E-03     -0.13098267E-02
       7     -0.45789893E-06     -0.45910338E-06     -0.17816635E-03     -0.13098267E-02
       8     -0.45817072E-06     -0.45910338E-06     -0.19661118E-03     -0.13098267E-02
       9     -0.45835743E-06     -0.45910338E-06     -0.21558104E-03     -0.13098267E-02
      10     -0.45846369E-06     -0.45910338E-06     -0.23419441E-03     -0.13098267E-02
      11     -0.45853805E-06     -0.45910338E-06     -0.25356132E-03     -0.13098267E-02
      12     -0.45858832E-06     -0.45910338E-06     -0.27251996E-03     -0.13098267E-02
      13     -0.45862668E-06     -0.45910338E-06     -0.29052536E-03     -0.13098267E-02
      14     -0.45866017E-06     -0.45910338E-06     -0.31086701E-03     -0.13098267E-02
      15     -0.45868230E-06     -0.45910338E-06     -0.33372762E-03     -0.13098267E-02
      16     -0.45869964E-06     -0.45910338E-06     -0.35551074E-03     -0.13098267E-02
      17     -0.45871936E-06     -0.45910338E-06     -0.38455227E-03     -0.13098267E-02
      18     -0.45873643E-06     -0.45910338E-06     -0.41399864E-03     -0.13098267E-02
      19     -0.45875645E-06     -0.45910338E-06     -0.45042438E-03     -0.13098267E-02
      20     -0.45876961E-06     -0.45910338E-06     -0.47717355E-03     -0.13098267E-02
      21     -0.45878696E-06     -0.45910338E-06     -0.50562003E-03     -0.13098267E-02
      22     -0.45879970E-06     -0.45910338E-06     -0.53499069E-03     -0.13098267E-02
      23     -0.45881288E-06     -0.45910338E-06     -0.56178899E-03     -0.13098267E-02
      24     -0.45882527E-06     -0.45910338E-06     -0.59318476E-03     -0.13098267E-02
      25     -0.45883612E-06     -0.45910338E-06     -0.62163200E-03     -0.13098267E-02
 
# q=  0.00000000E+00  0.00000000E+00  0.20000000E+00  (qpt 2)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.52155520E-02     -0.11232979E-01     -0.13326676E-04     -0.92211891E-03
       2     -0.82080077E-02     -0.11232979E-01     -0.25867194E-04     -0.92211891E-03
       3     -0.99944616E-02     -0.11232979E-01     -0.38694125E-04     -0.92211891E-03
       4     -0.10690370E-01     -0.11232979E-01     -0.51716412E-04     -0.92211891E-03
       5     -0.10983922E-01     -0.11232979E-01     -0.66232404E-04     -0.92211891E-03
       6     -0.11109767E-01     -0.11232979E-01     -0.80638125E-04     -0.92211891E-03
       7     -0.11163399E-01     -0.11232979E-01     -0.92735511E-04     -0.92211891E-03
       8     -0.11184019E-01     -0.11232979E-01     -0.10546469E-03     -0.92211891E-03
       9     -0.11196376E-01     -0.11232979E-01     -0.11935623E-03     -0.92211891E-03
      10     -0.11203568E-01     -0.11232979E-01     -0.13357001E-03     -0.92211891E-03
      11     -0.11207389E-01     -0.11232979E-01     -0.14693396E-03     -0.92211891E-03
      12     -0.11210306E-01     -0.11232979E-01     -0.16342652E-03     -0.92211891E-03
      13     -0.11212481E-01     -0.11232979E-01     -0.18028064E-03     -0.92211891E-03
      14     -0.11214093E-01     -0.11232979E-01     -0.19694952E-03     -0.92211891E-03
      15     -0.11215189E-01     -0.11232979E-01     -0.21721502E-03     -0.92211891E-03
      16     -0.11216045E-01     -0.11232979E-01     -0.23436683E-03     -0.92211891E-03
      17     -0.11217005E-01     -0.11232979E-01     -0.25573783E-03     -0.92211891E-03
      18     -0.11217834E-01     -0.11232979E-01     -0.27624533E-03     -0.92211891E-03
      19     -0.11218645E-01     -0.11232979E-01     -0.29732879E-03     -0.92211891E-03
      20     -0.11219265E-01     -0.11232979E-01     -0.31573483E-03     -0.92211891E-03
      21     -0.11219995E-01     -0.11232979E-01     -0.33325709E-03     -0.92211891E-03
      22     -0.11220543E-01     -0.11232979E-01     -0.35267263E-03     -0.92211891E-03
      23     -0.11221099E-01     -0.11232979E-01     -0.37179728E-03     -0.92211891E-03
      24     -0.11221589E-01     -0.11232979E-01     -0.39200493E-03     -0.92211891E-03
      25     -0.11222049E-01     -0.11232979E-01     -0.41582301E-03     -0.92211891E-03
 
# q=  0.00000000E+00  0.00000000E+00  0.40000000E+00  (qpt 3)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.56367074E-02     -0.21745198E-01     -0.31801222E-04     -0.83267639E-03
       2     -0.10624656E-01     -0.21745198E-01     -0.56131235E-04     -0.83267639E-03
       3     -0.14790855E-01     -0.21745198E-01     -0.78187074E-04     -0.83267639E-03
       4     -0.17864089E-01     -0.21745198E-01     -0.96794694E-04     -0.83267639E-03
       5     -0.19569696E-01     -0.21745198E-01     -0.11514462E-03     -0.83267639E-03
       6     -0.20575857E-01     -0.21745198E-01     -0.13262461E-03     -0.83267639E-03
       7     -0.21030450E-01     -0.21745198E-01     -0.14645829E-03     -0.83267639E-03
       8     -0.21274339E-01     -0.21745198E-01     -0.16179331E-03     -0.83267639E-03
       9     -0.21428116E-01     -0.21745198E-01     -0.17788236E-03     -0.83267639E-03
      10     -0.21523437E-01     -0.21745198E-01     -0.19259020E-03     -0.83267639E-03
      11     -0.21569358E-01     -0.21745198E-01     -0.20963136E-03     -0.83267639E-03
      12     -0.21602571E-01     -0.21745198E-01     -0.22577151E-03     -0.83267639E-03
      13     -0.21626351E-01     -0.21745198E-01     -0.24249623E-03     -0.83267639E-03
      14     -0.21641011E-01     -0.21745198E-01     -0.26102378E-03     -0.83267639E-03
      15     -0.21651527E-01     -0.21745198E-01     -0.27805019E-03     -0.83267639E-03
      16     -0.21660143E-01     -0.21745198E-01     -0.29690991E-03     -0.83267639E-03
