# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.56437374E+00  -8.18783629E+00   3.76537449E-01
# Error est. for CH(vbm) CH(cbm) diff =   6.38061991E-01   5.66118544E-01  -7.19434467E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -7.23046929E-01  -7.56884053E-01  -3.38371244E-02
      2  -2.30643977E+00  -1.40210599E+00   9.04333783E-01
      3  -3.67497661E+00  -2.07950163E+00   1.59547498E+00
      4  -5.14819270E+00  -2.63790043E+00   2.51029227E+00
      5  -5.34259216E+00  -3.65927546E+00   1.68331670E+00
      6  -5.59727207E+00  -4.54385748E+00   1.05341459E+00
      7  -5.90561616E+00  -5.53061005E+00   3.75006107E-01
      8  -6.18982599E+00  -5.87087210E+00   3.18953890E-01
      9  -6.45685232E+00  -6.12233024E+00   3.34522087E-01
     10  -6.65215927E+00  -6.30616587E+00   3.45993401E-01
     11  -6.81446950E+00  -6.45404370E+00   3.60425809E-01
     12  -6.93206557E+00  -6.61955332E+00   3.12512250E-01
     13  -7.03511479E+00  -6.74598934E+00   2.89125446E-01
     14  -7.16521958E+00  -6.86771959E+00   2.97499992E-01
     15  -7.23002507E+00  -6.94886164E+00   2.81163435E-01
     16  -7.29616784E+00  -7.02617555E+00   2.69992290E-01
     17  -7.36851431E+00  -7.10214005E+00   2.66374262E-01
     18  -7.45118756E+00  -7.16484056E+00   2.86347005E-01
     19  -7.51366732E+00  -7.22668840E+00   2.86978915E-01
     20  -7.54881029E+00  -7.27215398E+00   2.76656311E-01
     21  -7.59690248E+00  -7.31459410E+00   2.82308387E-01
     22  -7.64327472E+00  -7.35660702E+00   2.86667709E-01
     23  -7.68672828E+00  -7.39833435E+00   2.88393927E-01
     24  -7.72337732E+00  -7.43469206E+00   2.88685263E-01
     25  -7.75731682E+00  -7.46374008E+00   2.93576733E-01
     26  -7.78376076E+00  -7.49179976E+00   2.91961010E-01
     27  -7.81696932E+00  -7.51550767E+00   3.01461651E-01
     28  -7.83852400E+00  -7.53994408E+00   2.98579918E-01
     29  -7.86030534E+00  -7.56315376E+00   2.97151577E-01
     30  -7.88209564E+00  -7.58472721E+00   2.97368431E-01
     31  -7.90589932E+00  -7.60373535E+00   3.02163971E-01
     32  -7.92631175E+00  -7.62171775E+00   3.04594002E-01
# k =   0.000000   0.000000   0.200000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.39095516E+00  -8.30707937E+00   8.38757847E-02
# Error est. for CH(vbm) CH(cbm) diff =   6.00440235E-01   5.86684466E-01  -1.37557695E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -7.76089055E-01  -8.67885169E-01  -9.17961146E-02
      2  -1.94399132E+00  -1.75016060E+00   1.93830728E-01
      3  -3.50139856E+00  -2.30230236E+00   1.19909620E+00
      4  -5.06982954E+00  -2.68289537E+00   2.38693417E+00
      5  -5.29877959E+00  -4.39029715E+00   9.08482445E-01
      6  -5.60069918E+00  -4.80750033E+00   7.93198848E-01
      7  -5.91284450E+00  -5.48084744E+00   4.31997058E-01
      8  -6.17235511E+00  -5.89516908E+00   2.77186038E-01
      9  -6.41135334E+00  -6.12134562E+00   2.90007717E-01
     10  -6.59728247E+00  -6.33771340E+00   2.59569072E-01
     11  -6.73812975E+00  -6.56346532E+00   1.74664432E-01
     12  -6.85087495E+00  -6.69728467E+00   1.53590278E-01
     13  -6.95311664E+00  -6.82041118E+00   1.32705454E-01
     14  -7.06777812E+00  -6.94901166E+00   1.18766457E-01
     15  -7.13171756E+00  -7.03217590E+00   9.95416632E-02
     16  -7.19548756E+00  -7.10790098E+00   8.75865807E-02
     17  -7.26486284E+00  -7.18187433E+00   8.29885170E-02
     18  -7.34066568E+00  -7.25005606E+00   9.06096204E-02
     19  -7.39973834E+00  -7.31488851E+00   8.48498358E-02
     20  -7.43539251E+00  -7.35936428E+00   7.60282273E-02
     21  -7.48098998E+00  -7.40679632E+00   7.41936560E-02
     22  -7.52288796E+00  -7.44915829E+00   7.37296620E-02
     23  -7.56471151E+00  -7.49257342E+00   7.21380955E-02
     24  -7.59907159E+00  -7.52754725E+00   7.15243405E-02
     25  -7.62948191E+00  -7.55724717E+00   7.22347371E-02
     26  -7.65611584E+00  -7.58758422E+00   6.85316178E-02
     27  -7.68670198E+00  -7.61373199E+00   7.29699912E-02
     28  -7.70757226E+00  -7.63775390E+00   6.98183664E-02
     29  -7.72840041E+00  -7.65970341E+00   6.86970046E-02
     30  -7.74933808E+00  -7.68082713E+00   6.85109501E-02
     31  -7.77145160E+00  -7.70130054E+00   7.01510600E-02
     32  -7.79051492E+00  -7.72039491E+00   7.01200152E-02
# k =   0.000000   0.000000   0.400000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.31281873E+00  -8.26254371E+00   5.02750204E-02
# Error est. for CH(vbm) CH(cbm) diff =   5.76315780E-01   5.78830615E-01   2.51483513E-03
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -8.23011848E-01  -9.14023029E-01  -9.10111805E-02
      2  -1.79720208E+00  -1.80077473E+00  -3.57264545E-03
      3  -3.36042460E+00  -2.41904044E+00   9.41384162E-01
      4  -5.11202770E+00  -2.69677902E+00   2.41524867E+00
      5  -5.33314077E+00  -4.55663001E+00   7.76510765E-01
      6  -5.65340691E+00  -5.01599629E+00   6.37410622E-01
      7  -5.96517780E+00  -5.62258502E+00   3.42592788E-01
      8  -6.21048856E+00  -5.93850714E+00   2.71981425E-01
