# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1       1     0.00000     0.30616     0.61232   -1.747518624   -1.736145839    0.011372786
     1       1    -0.00680     0.30616     0.60552   -1.823377083   -1.819064081    0.004313002
     1       1    -0.01361     0.30616     0.59872   -1.899611774   -1.900407879   -0.000796105
     1       1    -0.02041     0.30616     0.59191   -1.976129065   -1.979651635   -0.003522570
     1       1    -0.02721     0.30616     0.58511   -2.052705373   -2.057247779   -0.004542406
     1       1    -0.03402     0.30616     0.57831   -2.128514708   -2.133223348   -0.004708640
     1       1    -0.04082     0.30616     0.57150   -2.203737170   -2.208325815   -0.004588646
     1       1    -0.04763     0.30616     0.56470   -2.278244923   -2.282663682   -0.004418759
     1       1    -0.05443     0.30616     0.55790   -2.351682706   -2.355929092   -0.004246386
     1       1    -0.06123     0.30616     0.55109   -2.424368316   -2.428442895   -0.004074579
     1       1    -0.06804     0.30616     0.54429   -2.495670214   -2.499575133   -0.003904920
     1       1    -0.07484     0.30616     0.53748   -2.565812846   -2.569551006   -0.003738160
     1       1    -0.08164     0.30616     0.53068   -2.634581367   -2.638155800   -0.003574433
     1       1    -0.08845     0.30616     0.52388   -2.701872848   -2.705278276   -0.003405429
     1       1    -0.09525     0.30616     0.51707   -2.767625872   -2.770816681   -0.003190809
     1       1    -0.10205     0.30616     0.51027   -2.831768088   -2.834611186   -0.002843097
     1       1    -0.10886     0.30616     0.50347   -2.894227830   -2.896476676   -0.002248847
     1       1    -0.11566     0.30616     0.49666   -2.954968242   -2.956315183   -0.001346941
     1       1    -0.12246     0.30616     0.48986   -3.013892811   -3.014142271   -0.000249461
     1       1    -0.12927     0.30616     0.48306   -3.070974581   -3.070217835    0.000756746
     1       1    -0.13607     0.30616     0.47625   -3.125696793   -3.124263033    0.001433761
     1       1    -0.14288     0.30616     0.46945   -3.178961413   -3.177200773    0.001760640
     1       1    -0.14968     0.30616     0.46265   -3.230130815   -3.228274194    0.001856620
     1       1    -0.15648     0.30616     0.45584   -3.279441144   -3.277594004    0.001847140
     1       1    -0.16329     0.30616     0.44904   -3.326754787   -3.324946882    0.001807905
     1       1    -0.17009     0.30616     0.44223   -3.372060634   -3.370292549    0.001768086
     1       1    -0.17689     0.30616     0.43543   -3.415218303   -3.413485599    0.001732704
     1       1    -0.18370     0.30616     0.42863   -3.456217571   -3.454516128    0.001701444
     1       1    -0.19050     0.30616     0.42182   -3.495187443   -3.493513567    0.001673876
     1       1    -0.19730     0.30616     0.41502   -3.531989892   -3.530340358    0.001649534
     1       1    -0.20411     0.30616     0.40822   -3.566637532   -3.565010597    0.001626934
     1       1    -0.21091     0.30616     0.40141   -3.599346095   -3.597764099    0.001581996
     1       1    -0.21772     0.30616     0.39461   -3.629637105   -3.628242986    0.001394119
     1       1    -0.22452     0.30616     0.38781   -3.657731312   -3.656952838    0.000778474
     1       1    -0.23132     0.30616     0.38100   -3.683462526   -3.684147075   -0.000684549
     1       1    -0.23813     0.30616     0.37420   -3.707269750   -3.710583196   -0.003313446
     1       1    -0.24493     0.30616     0.36739   -3.728660518   -3.735532017   -0.006871499
     1       1    -0.25173     0.30616     0.36059   -3.747952034   -3.758377411   -0.010425378
     1       1    -0.25854     0.30616     0.35379   -3.764910861   -3.777954501   -0.013043640
     1       1    -0.26534     0.30616     0.34698   -3.779620763   -3.794113230   -0.014492467
     1       1    -0.27214     0.30616     0.34018   -3.792076461   -3.807168842   -0.015092380
     1       1    -0.27895     0.30616     0.33338   -3.802273539   -3.817536760   -0.015263222
     1       1    -0.28575     0.30616     0.32657   -3.810208419   -3.825497692   -0.015289273
     1       1    -0.29256     0.30616     0.31977   -3.815878342   -3.831168794   -0.015290453
     1       1    -0.29936     0.30616     0.31297   -3.819281347   -3.834571817   -0.015290470
     1       1    -0.30616     0.30616     0.30616   -3.820411472   -3.835701946   -0.015290475
     1       1    -0.30004     0.30004     0.30004   -3.826540559   -3.841453721   -0.014913162
     1       1    -0.29392     0.29392     0.29392   -3.844671037   -3.858494430   -0.013823394
     1       1    -0.28779     0.28779     0.28779   -3.874129547   -3.886283889   -0.012154342
     1       1    -0.28167     0.28167     0.28167   -3.913894160   -3.924039276   -0.010145117
     1       1    -0.27555     0.27555     0.27555   -3.962726710   -3.970866582   -0.008139872
     1       1    -0.26942     0.26942     0.26942   -4.019298576   -4.025820749   -0.006522173
     1       1    -0.26330     0.26330     0.26330   -4.082292541   -4.087833809   -0.005541268
     1       1    -0.25718     0.25718     0.25718   -4.151043347   -4.156161444   -0.005118097
     1       1    -0.25105     0.25105     0.25105   -4.223256946   -4.228210567   -0.004953621
     1       1    -0.24493     0.24493     0.24493   -4.298207802   -4.303114924   -0.004907122
     1       1    -0.23881     0.23881     0.23881   -4.376093505   -4.381038091   -0.004944585
     1       1    -0.23268     0.23268     0.23268   -4.455135809   -4.460176718   -0.005040910
     1       1    -0.22656     0.22656     0.22656   -4.535072344   -4.540207214   -0.005134869
     1       1    -0.22044     0.22044     0.22044   -4.615381942   -4.620476569   -0.005094627
