# q=  0.00000000E+00  0.00000000E+00  0.83333333E-01  (qpt 1)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.20021256E-01     -0.20252871E-01     -0.30021914E-08     -0.67736372E-06
       2     -0.20250164E-01     -0.20252871E-01     -0.68782661E-08     -0.67736372E-06
       3     -0.20251510E-01     -0.20252871E-01     -0.94168737E-08     -0.67736372E-06
       4     -0.20252045E-01     -0.20252871E-01     -0.11903340E-07     -0.67736372E-06
       5     -0.20252278E-01     -0.20252871E-01     -0.14011830E-07     -0.67736372E-06
       6     -0.20252411E-01     -0.20252871E-01     -0.15956440E-07     -0.67736372E-06
       7     -0.20252500E-01     -0.20252871E-01     -0.18018037E-07     -0.67736372E-06
       8     -0.20252588E-01     -0.20252871E-01     -0.19955248E-07     -0.67736372E-06
       9     -0.20252626E-01     -0.20252871E-01     -0.21643116E-07     -0.67736372E-06
      10     -0.20252668E-01     -0.20252871E-01     -0.23824603E-07     -0.67736372E-06
      11     -0.20252689E-01     -0.20252871E-01     -0.25533326E-07     -0.67736372E-06
      12     -0.20252710E-01     -0.20252871E-01     -0.27317997E-07     -0.67736372E-06
      13     -0.20252731E-01     -0.20252871E-01     -0.29514722E-07     -0.67736372E-06
      14     -0.20252747E-01     -0.20252871E-01     -0.31669453E-07     -0.67736372E-06
      15     -0.20252762E-01     -0.20252871E-01     -0.33846235E-07     -0.67736372E-06
      16     -0.20252769E-01     -0.20252871E-01     -0.36560412E-07     -0.67736372E-06
      17     -0.20252776E-01     -0.20252871E-01     -0.39596171E-07     -0.67736372E-06
      18     -0.20252781E-01     -0.20252871E-01     -0.42524935E-07     -0.67736372E-06
      19     -0.20252786E-01     -0.20252871E-01     -0.46267772E-07     -0.67736372E-06
      20     -0.20252789E-01     -0.20252871E-01     -0.51825189E-07     -0.67736372E-06
      21     -0.20252794E-01     -0.20252871E-01     -0.56169464E-07     -0.67736372E-06
      22     -0.20252797E-01     -0.20252871E-01     -0.61446677E-07     -0.67736372E-06
      23     -0.20252800E-01     -0.20252871E-01     -0.67692037E-07     -0.67736372E-06
      24     -0.20252804E-01     -0.20252871E-01     -0.73413547E-07     -0.67736372E-06
      25     -0.20252806E-01     -0.20252871E-01     -0.81542801E-07     -0.67736372E-06
      26     -0.20252809E-01     -0.20252871E-01     -0.89079665E-07     -0.67736372E-06
      27     -0.20252812E-01     -0.20252871E-01     -0.96152694E-07     -0.67736372E-06
      28     -0.20252814E-01     -0.20252871E-01     -0.10498350E-06     -0.67736372E-06
      29     -0.20252817E-01     -0.20252871E-01     -0.11596865E-06     -0.67736372E-06
      30     -0.20252819E-01     -0.20252871E-01     -0.12577219E-06     -0.67736372E-06
      31     -0.20252821E-01     -0.20252871E-01     -0.13561772E-06     -0.67736372E-06
      32     -0.20252822E-01     -0.20252871E-01     -0.14547348E-06     -0.67736372E-06
      33     -0.20252824E-01     -0.20252871E-01     -0.15561215E-06     -0.67736372E-06
      34     -0.20252826E-01     -0.20252871E-01     -0.16720015E-06     -0.67736372E-06
      35     -0.20252827E-01     -0.20252871E-01     -0.17701902E-06     -0.67736372E-06
      36     -0.20252828E-01     -0.20252871E-01     -0.18913420E-06     -0.67736372E-06
      37     -0.20252830E-01     -0.20252871E-01     -0.20411784E-06     -0.67736372E-06
      38     -0.20252831E-01     -0.20252871E-01     -0.21565813E-06     -0.67736372E-06
      39     -0.20252831E-01     -0.20252871E-01     -0.22613359E-06     -0.67736372E-06
      40     -0.20252832E-01     -0.20252871E-01     -0.23795715E-06     -0.67736372E-06
 
# q=  0.00000000E+00  0.00000000E+00  0.16666667E+00  (qpt 2)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.18942165E-01     -0.21150154E-01     -0.44136782E-08     -0.70023691E-06
       2     -0.21121914E-01     -0.21150154E-01     -0.74590536E-08     -0.70023691E-06
       3     -0.21143200E-01     -0.21150154E-01     -0.96827866E-08     -0.70023691E-06
       4     -0.21146699E-01     -0.21150154E-01     -0.11794902E-07     -0.70023691E-06
       5     -0.21147618E-01     -0.21150154E-01     -0.13884502E-07     -0.70023691E-06
       6     -0.21148211E-01     -0.21150154E-01     -0.15804430E-07     -0.70023691E-06
       7     -0.21148625E-01     -0.21150154E-01     -0.17818223E-07     -0.70023691E-06
       8     -0.21148998E-01     -0.21150154E-01     -0.19835402E-07     -0.70023691E-06
       9     -0.21149155E-01     -0.21150154E-01     -0.22142362E-07     -0.70023691E-06
      10     -0.21149307E-01     -0.21150154E-01     -0.24906674E-07     -0.70023691E-06
      11     -0.21149384E-01     -0.21150154E-01     -0.27008498E-07     -0.70023691E-06
      12     -0.21149460E-01     -0.21150154E-01     -0.28826407E-07     -0.70023691E-06
      13     -0.21149539E-01     -0.21150154E-01     -0.30994518E-07     -0.70023691E-06
      14     -0.21149607E-01     -0.21150154E-01     -0.32999318E-07     -0.70023691E-06
      15     -0.21149669E-01     -0.21150154E-01     -0.34980981E-07     -0.70023691E-06
      16     -0.21149703E-01     -0.21150154E-01     -0.36474288E-07     -0.70023691E-06
      17     -0.21149757E-01     -0.21150154E-01     -0.38756599E-07     -0.70023691E-06
      18     -0.21149785E-01     -0.21150154E-01     -0.40597410E-07     -0.70023691E-06
      19     -0.21149807E-01     -0.21150154E-01     -0.42988724E-07     -0.70023691E-06
      20     -0.21149827E-01     -0.21150154E-01     -0.46589407E-07     -0.70023691E-06
      21     -0.21149848E-01     -0.21150154E-01     -0.49461639E-07     -0.70023691E-06
      22     -0.21149862E-01     -0.21150154E-01     -0.53060597E-07     -0.70023691E-06
      23     -0.21149875E-01     -0.21150154E-01     -0.57306693E-07     -0.70023691E-06
      24     -0.21149889E-01     -0.21150154E-01     -0.60845170E-07     -0.70023691E-06
      25     -0.21149899E-01     -0.21150154E-01     -0.67912023E-07     -0.70023691E-06
      26     -0.21149911E-01     -0.21150154E-01     -0.73349872E-07     -0.70023691E-06
      27     -0.21149920E-01     -0.21150154E-01     -0.77082447E-07     -0.70023691E-06
      28     -0.21149928E-01     -0.21150154E-01     -0.83912071E-07     -0.70023691E-06
      29     -0.21149938E-01     -0.21150154E-01     -0.94212410E-07     -0.70023691E-06
      30     -0.21149946E-01     -0.21150154E-01     -0.10365994E-06     -0.70023691E-06
      31     -0.21149954E-01     -0.21150154E-01     -0.11237246E-06     -0.70023691E-06
      32     -0.21149960E-01     -0.21150154E-01     -0.12209085E-06     -0.70023691E-06
      33     -0.21149966E-01     -0.21150154E-01     -0.13234579E-06     -0.70023691E-06
      34     -0.21149973E-01     -0.21150154E-01     -0.14522839E-06     -0.70023691E-06
