# q=  0.00000000E+00  0.00000000E+00  0.31250000E-01  (qpt 1)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.25444601E-02     -0.27074560E-02     -0.12617830E-03     -0.29695974E-02
       2     -0.25895926E-02     -0.27074560E-02     -0.23978240E-03     -0.29695974E-02
       3     -0.26225082E-02     -0.27074560E-02     -0.34421291E-03     -0.29695974E-02
       4     -0.26362726E-02     -0.27074560E-02     -0.41156565E-03     -0.29695974E-02
       5     -0.26439259E-02     -0.27074560E-02     -0.49077308E-03     -0.29695974E-02
       6     -0.26476697E-02     -0.27074560E-02     -0.54700858E-03     -0.29695974E-02
       7     -0.26499330E-02     -0.27074560E-02     -0.61404339E-03     -0.29695974E-02
       8     -0.26509252E-02     -0.27074560E-02     -0.66766166E-03     -0.29695974E-02
       9     -0.26516944E-02     -0.27074560E-02     -0.72067028E-03     -0.29695974E-02
      10     -0.26519015E-02     -0.27074560E-02     -0.77073605E-03     -0.29695974E-02
      11     -0.26524354E-02     -0.27074560E-02     -0.80874676E-03     -0.29695974E-02
      12     -0.26532524E-02     -0.27074560E-02     -0.85116798E-03     -0.29695974E-02
      13     -0.26539563E-02     -0.27074560E-02     -0.88718980E-03     -0.29695974E-02
      14     -0.26546925E-02     -0.27074560E-02     -0.93052997E-03     -0.29695974E-02
      15     -0.26552307E-02     -0.27074560E-02     -0.96069328E-03     -0.29695974E-02
      16     -0.26561938E-02     -0.27074560E-02     -0.10093031E-02     -0.29695974E-02
      17     -0.26567194E-02     -0.27074560E-02     -0.10524683E-02     -0.29695974E-02
      18     -0.26576826E-02     -0.27074560E-02     -0.11003967E-02     -0.29695974E-02
      19     -0.26584668E-02     -0.27074560E-02     -0.11383931E-02     -0.29695974E-02
      20     -0.26590768E-02     -0.27074560E-02     -0.11777933E-02     -0.29695974E-02
      21     -0.26595077E-02     -0.27074560E-02     -0.11997005E-02     -0.29695974E-02
      22     -0.26602218E-02     -0.27074560E-02     -0.12369833E-02     -0.29695974E-02
      23     -0.26610146E-02     -0.27074560E-02     -0.12647802E-02     -0.29695974E-02
      24     -0.26614425E-02     -0.27074560E-02     -0.12850290E-02     -0.29695974E-02
      25     -0.26620143E-02     -0.27074560E-02     -0.13029393E-02     -0.29695974E-02
      26     -0.26625944E-02     -0.27074560E-02     -0.13156644E-02     -0.29695974E-02
      27     -0.26630782E-02     -0.27074560E-02     -0.13366360E-02     -0.29695974E-02
      28     -0.26638879E-02     -0.27074560E-02     -0.13716811E-02     -0.29695974E-02
      29     -0.26643847E-02     -0.27074560E-02     -0.13930537E-02     -0.29695974E-02
      30     -0.26662747E-02     -0.27074560E-02     -0.14380695E-02     -0.29695974E-02
      31     -0.26676992E-02     -0.27074560E-02     -0.14766836E-02     -0.29695974E-02
      32     -0.26690539E-02     -0.27074560E-02     -0.15123298E-02     -0.29695974E-02
      33     -0.26709153E-02     -0.27074560E-02     -0.15665695E-02     -0.29695974E-02
      34     -0.26726480E-02     -0.27074560E-02     -0.16169006E-02     -0.29695974E-02
      35     -0.26738460E-02     -0.27074560E-02     -0.16530304E-02     -0.29695974E-02
      36     -0.26744711E-02     -0.27074560E-02     -0.16830913E-02     -0.29695974E-02
      37     -0.26750003E-02     -0.27074560E-02     -0.17105691E-02     -0.29695974E-02
      38     -0.26756329E-02     -0.27074560E-02     -0.17382696E-02     -0.29695974E-02
      39     -0.26767579E-02     -0.27074560E-02     -0.17749090E-02     -0.29695974E-02
      40     -0.26777696E-02     -0.27074560E-02     -0.18117419E-02     -0.29695974E-02
 
# q=  0.00000000E+00  0.00000000E+00  0.62500000E-01  (qpt 2)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.25920410E-02     -0.32184248E-02     -0.13069890E-03     -0.29405581E-02
       2     -0.27456516E-02     -0.32184248E-02     -0.23851218E-03     -0.29405581E-02
       3     -0.28664184E-02     -0.32184248E-02     -0.35176041E-03     -0.29405581E-02
       4     -0.29251600E-02     -0.32184248E-02     -0.41206873E-03     -0.29405581E-02
       5     -0.29600065E-02     -0.32184248E-02     -0.48746353E-03     -0.29405581E-02
       6     -0.29791409E-02     -0.32184248E-02     -0.54112766E-03     -0.29405581E-02
       7     -0.29901857E-02     -0.32184248E-02     -0.60696289E-03     -0.29405581E-02
       8     -0.29951316E-02     -0.32184248E-02     -0.66110146E-03     -0.29405581E-02
       9     -0.29987049E-02     -0.32184248E-02     -0.71601856E-03     -0.29405581E-02
      10     -0.29995277E-02     -0.32184248E-02     -0.76672664E-03     -0.29405581E-02
      11     -0.30016169E-02     -0.32184248E-02     -0.81209151E-03     -0.29405581E-02
      12     -0.30048558E-02     -0.32184248E-02     -0.85312422E-03     -0.29405581E-02
      13     -0.30076436E-02     -0.32184248E-02     -0.88847104E-03     -0.29405581E-02
      14     -0.30104866E-02     -0.32184248E-02     -0.93405177E-03     -0.29405581E-02
      15     -0.30125928E-02     -0.32184248E-02     -0.96374351E-03     -0.29405581E-02
      16     -0.30163545E-02     -0.32184248E-02     -0.10150525E-02     -0.29405581E-02
      17     -0.30184671E-02     -0.32184248E-02     -0.10615220E-02     -0.29405581E-02
      18     -0.30222468E-02     -0.32184248E-02     -0.11126677E-02     -0.29405581E-02
      19     -0.30253853E-02     -0.32184248E-02     -0.11523182E-02     -0.29405581E-02
      20     -0.30278431E-02     -0.32184248E-02     -0.11962465E-02     -0.29405581E-02
      21     -0.30297524E-02     -0.32184248E-02     -0.12186843E-02     -0.29405581E-02
      22     -0.30325284E-02     -0.32184248E-02     -0.12584880E-02     -0.29405581E-02
      23     -0.30355098E-02     -0.32184248E-02     -0.12875503E-02     -0.29405581E-02
      24     -0.30372644E-02     -0.32184248E-02     -0.13088261E-02     -0.29405581E-02
      25     -0.30389232E-02     -0.32184248E-02     -0.13279750E-02     -0.29405581E-02
      26     -0.30413189E-02     -0.32184248E-02     -0.13415752E-02     -0.29405581E-02
      27     -0.30432553E-02     -0.32184248E-02     -0.13617303E-02     -0.29405581E-02
      28     -0.30464779E-02     -0.32184248E-02     -0.13969967E-02     -0.29405581E-02
      29     -0.30484037E-02     -0.32184248E-02     -0.14183785E-02     -0.29405581E-02
      30     -0.30557499E-02     -0.32184248E-02     -0.14606876E-02     -0.29405581E-02
      31     -0.30613013E-02     -0.32184248E-02     -0.14978230E-02     -0.29405581E-02
      32     -0.30665604E-02     -0.32184248E-02     -0.15308390E-02     -0.29405581E-02
      33     -0.30739374E-02     -0.32184248E-02     -0.15808024E-02     -0.29405581E-02
      34     -0.30806606E-02     -0.32184248E-02     -0.16281535E-02     -0.29405581E-02
      35     -0.30852854E-02     -0.32184248E-02     -0.16611548E-02     -0.29405581E-02
      36     -0.30879345E-02     -0.32184248E-02     -0.16892373E-02     -0.29405581E-02
      37     -0.30900792E-02     -0.32184248E-02     -0.17164553E-02     -0.29405581E-02
      38     -0.30924983E-02     -0.32184248E-02     -0.17445626E-02     -0.29405581E-02
      39     -0.30969872E-02     -0.32184248E-02     -0.17794773E-02     -0.29405581E-02
      40     -0.31009835E-02     -0.32184248E-02     -0.18143694E-02     -0.29405581E-02
 
# q=  0.00000000E+00  0.00000000E+00  0.93750000E-01  (qpt 3)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.26393748E-02     -0.39639119E-02     -0.11708967E-03     -0.27801869E-02
       2     -0.29151484E-02     -0.39639119E-02     -0.23500096E-03     -0.27801869E-02
       3     -0.31505022E-02     -0.39639119E-02     -0.34530710E-03     -0.27801869E-02
       4     -0.32801062E-02     -0.39639119E-02     -0.42021225E-03     -0.27801869E-02
       5     -0.33674754E-02     -0.39639119E-02     -0.49510535E-03     -0.27801869E-02
       6     -0.34227617E-02     -0.39639119E-02     -0.55427631E-03     -0.27801869E-02
       7     -0.34544987E-02     -0.39639119E-02     -0.61316067E-03     -0.27801869E-02
       8     -0.34698781E-02     -0.39639119E-02     -0.66407741E-03     -0.27801869E-02
       9     -0.34802494E-02     -0.39639119E-02     -0.71046087E-03     -0.27801869E-02
      10     -0.34820792E-02     -0.39639119E-02     -0.76118108E-03     -0.27801869E-02
      11     -0.34865780E-02     -0.39639119E-02     -0.80097316E-03     -0.27801869E-02
      12     -0.34937025E-02     -0.39639119E-02     -0.84954919E-03     -0.27801869E-02
      13     -0.34998894E-02     -0.39639119E-02     -0.88508553E-03     -0.27801869E-02
      14     -0.35059876E-02     -0.39639119E-02     -0.92877393E-03     -0.27801869E-02
      15     -0.35105955E-02     -0.39639119E-02     -0.95893614E-03     -0.27801869E-02
      16     -0.35187711E-02     -0.39639119E-02     -0.10111805E-02     -0.27801869E-02
      17     -0.35235442E-02     -0.39639119E-02     -0.10532474E-02     -0.27801869E-02
      18     -0.35317506E-02     -0.39639119E-02     -0.11031328E-02     -0.27801869E-02
      19     -0.35387644E-02     -0.39639119E-02     -0.11404252E-02     -0.27801869E-02
      20     -0.35443074E-02     -0.39639119E-02     -0.11802002E-02     -0.27801869E-02
      21     -0.35489155E-02     -0.39639119E-02     -0.12032365E-02     -0.27801869E-02
      22     -0.35549107E-02     -0.39639119E-02     -0.12373345E-02     -0.27801869E-02
      23     -0.35610441E-02     -0.39639119E-02     -0.12660474E-02     -0.27801869E-02
      24     -0.35649283E-02     -0.39639119E-02     -0.12860489E-02     -0.27801869E-02
      25     -0.35683190E-02     -0.39639119E-02     -0.13042607E-02     -0.27801869E-02
      26     -0.35727069E-02     -0.39639119E-02     -0.13167305E-02     -0.27801869E-02
      27     -0.35770658E-02     -0.39639119E-02     -0.13365854E-02     -0.27801869E-02
      28     -0.35842659E-02     -0.39639119E-02     -0.13682444E-02     -0.27801869E-02
      29     -0.35884125E-02     -0.39639119E-02     -0.13878057E-02     -0.27801869E-02
      30     -0.36041923E-02     -0.39639119E-02     -0.14240965E-02     -0.27801869E-02
      31     -0.36161719E-02     -0.39639119E-02     -0.14538049E-02     -0.27801869E-02
      32     -0.36278117E-02     -0.39639119E-02     -0.14829632E-02     -0.27801869E-02
      33     -0.36438246E-02     -0.39639119E-02     -0.15300085E-02     -0.27801869E-02
      34     -0.36583428E-02     -0.39639119E-02     -0.15723233E-02     -0.27801869E-02
      35     -0.36681928E-02     -0.39639119E-02     -0.16030597E-02     -0.27801869E-02
      36     -0.36741329E-02     -0.39639119E-02     -0.16283372E-02     -0.27801869E-02
      37     -0.36788425E-02     -0.39639119E-02     -0.16540470E-02     -0.27801869E-02
      38     -0.36842336E-02     -0.39639119E-02     -0.16774239E-02     -0.27801869E-02
      39     -0.36943347E-02     -0.39639119E-02     -0.17118551E-02     -0.27801869E-02
      40     -0.37031108E-02     -0.39639119E-02     -0.17435221E-02     -0.27801869E-02
 
# q=  0.00000000E+00  0.00000000E+00  0.12500000E+00  (qpt 4)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.23906035E-02     -0.48419023E-02     -0.11596533E-03     -0.29912882E-02
       2     -0.27730357E-02     -0.48419023E-02     -0.22467613E-03     -0.29912882E-02
       3     -0.33997445E-02     -0.48419023E-02     -0.33252053E-03     -0.29912882E-02
       4     -0.36049883E-02     -0.48419023E-02     -0.40941886E-03     -0.29912882E-02
       5     -0.37633176E-02     -0.48419023E-02     -0.48628741E-03     -0.29912882E-02
       6     -0.38757278E-02     -0.48419023E-02     -0.54582848E-03     -0.29912882E-02
       7     -0.39442689E-02     -0.48419023E-02     -0.61089993E-03     -0.29912882E-02
       8     -0.39826604E-02     -0.48419023E-02     -0.66678944E-03     -0.29912882E-02
       9     -0.40083776E-02     -0.48419023E-02     -0.71725661E-03     -0.29912882E-02
      10     -0.40115764E-02     -0.48419023E-02     -0.76928908E-03     -0.29912882E-02
      11     -0.40190734E-02     -0.48419023E-02     -0.80379635E-03     -0.29912882E-02
      12     -0.40312188E-02     -0.48419023E-02     -0.84665850E-03     -0.29912882E-02
      13     -0.40419838E-02     -0.48419023E-02     -0.88220605E-03     -0.29912882E-02
      14     -0.40522845E-02     -0.48419023E-02     -0.92353598E-03     -0.29912882E-02
      15     -0.40602403E-02     -0.48419023E-02     -0.95298826E-03     -0.29912882E-02
      16     -0.40741928E-02     -0.48419023E-02     -0.10003377E-02     -0.29912882E-02
      17     -0.40826666E-02     -0.48419023E-02     -0.10386508E-02     -0.29912882E-02
      18     -0.40964946E-02     -0.48419023E-02     -0.10844885E-02     -0.29912882E-02
      19     -0.41087108E-02     -0.48419023E-02     -0.11183875E-02     -0.29912882E-02
      20     -0.41184545E-02     -0.48419023E-02     -0.11536001E-02     -0.29912882E-02
