# k =  0.00000000E+00  0.00000000E+00  0.00000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       1 -0.13211555E-01 -0.14713580E-01 -0.15020248E-02 -0.25160208E-01
       2 -0.28180158E-01 -0.29266536E-01 -0.10863779E-02 -0.25160208E-01
       3 -0.41484961E-01 -0.46552303E-01 -0.50673415E-02 -0.25160208E-01
       4 -0.58650705E-01 -0.64889334E-01 -0.62386288E-02 -0.25160208E-01
       5 -0.76169341E-01 -0.82920705E-01 -0.67513634E-02 -0.25160208E-01
       6 -0.93702295E-01 -0.10819516E+00 -0.14492863E-01 -0.25160208E-01
       7 -0.11201971E+00 -0.12793545E+00 -0.15915747E-01 -0.25160208E-01
       8 -0.12462988E+00 -0.16027228E+00 -0.35642393E-01 -0.25160208E-01
       9 -0.14268235E+00 -0.18255687E+00 -0.39874520E-01 -0.25160208E-01
      10 -0.15844057E+00 -0.20246326E+00 -0.44022696E-01 -0.25160208E-01
      11 -0.17323777E+00 -0.21890349E+00 -0.45665719E-01 -0.25160208E-01
      12 -0.18556938E+00 -0.23558233E+00 -0.50012948E-01 -0.25160208E-01
      13 -0.20631011E+00 -0.25750828E+00 -0.51198170E-01 -0.25160208E-01
      14 -0.22224145E+00 -0.27781744E+00 -0.55575996E-01 -0.25160208E-01
      15 -0.24500729E+00 -0.30990081E+00 -0.64893512E-01 -0.25160208E-01
      16 -0.27964485E+00 -0.34481879E+00 -0.65173942E-01 -0.25160208E-01
      17 -0.29637619E+00 -0.36979910E+00 -0.73422913E-01 -0.25160208E-01
      18 -0.30257834E+00 -0.39783107E+00 -0.95252725E-01 -0.25160208E-01
      19 -0.32713185E+00 -0.42637956E+00 -0.99247704E-01 -0.25160208E-01
      20 -0.33933370E+00 -0.45353354E+00 -0.11419984E+00 -0.25160208E-01
      21 -0.35377862E+00 -0.48125769E+00 -0.12747907E+00 -0.25160208E-01
      22 -0.36620706E+00 -0.50515328E+00 -0.13894623E+00 -0.25160208E-01
      23 -0.38068916E+00 -0.53539870E+00 -0.15470953E+00 -0.25160208E-01
      24 -0.39428679E+00 -0.56648578E+00 -0.17219899E+00 -0.25160208E-01
      25 -0.40543719E+00 -0.59118120E+00 -0.18574401E+00 -0.25160208E-01
      26 -0.41306811E+00 -0.60900028E+00 -0.19593217E+00 -0.25160208E-01
      27 -0.42530621E+00 -0.62681531E+00 -0.20150910E+00 -0.25160208E-01
      28 -0.43557392E+00 -0.65994337E+00 -0.22436945E+00 -0.25160208E-01
      29 -0.44720002E+00 -0.69302095E+00 -0.24582092E+00 -0.25160208E-01
      30 -0.45628947E+00 -0.70536480E+00 -0.24907532E+00 -0.25160208E-01
      31 -0.46207068E+00 -0.71742197E+00 -0.25535130E+00 -0.25160208E-01
      32 -0.48955440E+00 -0.74952396E+00 -0.25996956E+00 -0.25160208E-01
      33 -0.50001351E+00 -0.76248869E+00 -0.26247518E+00 -0.25160208E-01
      34 -0.55873332E+00 -0.82784795E+00 -0.26911463E+00 -0.25160208E-01
      35 -0.57919327E+00 -0.87410969E+00 -0.29491642E+00 -0.25160208E-01
      36 -0.59937873E+00 -0.92056904E+00 -0.32119031E+00 -0.25160208E-01
      37 -0.66237372E+00 -0.98012191E+00 -0.31774819E+00 -0.25160208E-01
      38 -0.72603088E+00 -0.10397933E+01 -0.31376238E+00 -0.25160208E-01
      39 -0.74991267E+00 -0.10652400E+01 -0.31532737E+00 -0.25160208E-01
      40 -0.77265336E+00 -0.10902894E+01 -0.31763604E+00 -0.25160208E-01
      41 -0.79749470E+00 -0.11053905E+01 -0.30789580E+00 -0.25160208E-01
      42 -0.82463289E+00 -0.11231179E+01 -0.29848502E+00 -0.25160208E-01
      43 -0.84027986E+00 -0.11330684E+01 -0.29278850E+00 -0.25160208E-01
      44 -0.89289378E+00 -0.11624222E+01 -0.26952846E+00 -0.25160208E-01
      45 -0.94531937E+00 -0.11921990E+01 -0.24687965E+00 -0.25160208E-01
      46 -0.96780022E+00 -0.12047634E+01 -0.23696323E+00 -0.25160208E-01
      47 -0.99053268E+00 -0.12258637E+01 -0.23533103E+00 -0.25160208E-01
      48 -0.11044963E+01 -0.12783154E+01 -0.17381908E+00 -0.25160208E-01
      49 -0.12223148E+01 -0.13741789E+01 -0.15186407E+00 -0.25160208E-01
      50 -0.12425153E+01 -0.13945200E+01 -0.15200461E+00 -0.25160208E-01
      51 -0.12574164E+01 -0.14145560E+01 -0.15713960E+00 -0.25160208E-01
      52 -0.12941813E+01 -0.14455138E+01 -0.15133245E+00 -0.25160208E-01
      53 -0.13376378E+01 -0.15388879E+01 -0.20125013E+00 -0.25160208E-01
      54 -0.14037332E+01 -0.15957135E+01 -0.19198025E+00 -0.25160208E-01
      55 -0.15033884E+01 -0.16628173E+01 -0.15942894E+00 -0.25160208E-01
      56 -0.16133021E+01 -0.17831911E+01 -0.16988899E+00 -0.25160208E-01
      57 -0.17769842E+01 -0.19184218E+01 -0.14143766E+00 -0.25160208E-01
      58 -0.18694007E+01 -0.20461219E+01 -0.17672119E+00 -0.25160208E-01
      59 -0.20694529E+01 -0.21361768E+01 -0.66723961E-01 -0.25160208E-01
      60 -0.22947962E+01 -0.22263599E+01  0.68436271E-01 -0.25160208E-01
      61 -0.24670037E+01 -0.23174228E+01  0.14958086E+00 -0.25160208E-01
