# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      62     0.00000     0.00000     0.01232   -3.506890865   -3.508652079   -0.001761214
     1      62     0.00000     0.00000     0.03696   -3.626676356   -3.666520103   -0.039843747
     1      62     0.00000     0.00000     0.06160   -3.827982221   -3.939631125   -0.111648904
     1      62     0.00000     0.00000     0.08624   -4.074236819   -4.223602049   -0.149365231
     1      62     0.00000     0.00000     0.11088   -4.340817745   -4.490552593   -0.149734848
     1      62     0.00000     0.00000     0.13552   -4.618059173   -4.819768115   -0.201708942
     1      62     0.00000     0.00000     0.16017   -4.898286787   -5.199429297   -0.301142509
     1      62     0.00000     0.00000     0.18481   -4.906140548   -5.259277631   -0.353137083
     1      62     0.00000     0.00000     0.20945   -4.864293953   -5.217630975   -0.353337022
     1      62     0.00000     0.00000     0.23409   -4.823494897   -5.173374529   -0.349879632
     1      62     0.00000     0.00000     0.25873   -4.782719594   -5.126018025   -0.343298431
     1      62     0.00000     0.00000     0.28337   -4.862644926   -5.210732858   -0.348087931
     1      62     0.00000     0.00000     0.30801   -5.056791418   -5.405159346   -0.348367928
     1      62     0.00000     0.00000     0.33265   -5.246617466   -5.624192933   -0.377575467
     1      62     0.00000     0.00000     0.35729   -5.430154262   -5.869056863   -0.438902601
     1      62     0.00000     0.00000     0.38193   -5.606163684   -6.076143001   -0.469979317
     1      62     0.00000     0.00000    -0.38193   -5.606163684   -6.076143090   -0.469979406
     1      62     0.00000     0.00000    -0.35729   -5.430154262   -5.869078471   -0.438924209
     1      62     0.00000     0.00000    -0.33265   -5.246617466   -5.615349925   -0.368732459
     1      62     0.00000     0.00000    -0.30801   -5.056791418   -5.405243652   -0.348452234
     1      62     0.00000     0.00000    -0.28337   -4.862644926   -5.210817227   -0.348172301
     1      62     0.00000     0.00000    -0.25873   -4.782719594   -5.125973470   -0.343253876
     1      62     0.00000     0.00000    -0.23409   -4.823494897   -5.173317173   -0.349822276
     1      62     0.00000     0.00000    -0.20945   -4.864293953   -5.217566866   -0.353272913
     1      62     0.00000     0.00000    -0.18481   -4.906140548   -5.259213673   -0.353073126
     1      62     0.00000     0.00000    -0.16017   -4.898286787   -5.199408933   -0.301122146
     1      62     0.00000     0.00000    -0.13552   -4.618059173   -4.819831235   -0.201772062
     1      62     0.00000     0.00000    -0.11088   -4.340817745   -4.490659330   -0.149841584
     1      62     0.00000     0.00000    -0.08624   -4.074236819   -4.223708853   -0.149472034
     1      62     0.00000     0.00000    -0.06160   -3.827982221   -3.939710667   -0.111728446
     1      62     0.00000     0.00000    -0.03696   -3.626676356   -3.666547572   -0.039871216
     1      62     0.00000     0.00000    -0.01232   -3.506890865   -3.508652192   -0.001761327
     1      63     0.00000     0.00000     0.01232   -3.080931818   -3.023326343    0.057605475
     1      63     0.00000     0.00000     0.03696   -3.131541278   -3.099114913    0.032426365
     1      63     0.00000     0.00000     0.06160   -3.227693459   -3.243448105   -0.015754646
     1      63     0.00000     0.00000     0.08624   -3.358641391   -3.398933894   -0.040292504
     1      63     0.00000     0.00000     0.11088   -3.515078304   -3.556287192   -0.041208888
     1      63     0.00000     0.00000     0.13552   -3.687077193   -3.769869781   -0.082792588
     1      63     0.00000     0.00000     0.16017   -3.873821261   -4.036185553   -0.162364292
     1      63     0.00000     0.00000     0.18481   -4.066816396   -4.270764388   -0.203947992
