# q=  0.00000000E+00  0.00000000E+00  0.10000000E-02  (qpt 1)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.31000855E-06     -0.44122664E-06     -0.62023729E-04     -0.78285683E-02
       2     -0.38386911E-06     -0.44122664E-06     -0.14200683E-03     -0.78285683E-02
       3     -0.42276479E-06     -0.44122664E-06     -0.24536737E-03     -0.78285683E-02
       4     -0.43334373E-06     -0.44122664E-06     -0.35557504E-03     -0.78285683E-02
       5     -0.43776625E-06     -0.44122664E-06     -0.49338708E-03     -0.78285683E-02
       6     -0.43988681E-06     -0.44122664E-06     -0.62599959E-03     -0.78285683E-02
       7     -0.44028849E-06     -0.44122664E-06     -0.74950946E-03     -0.78285683E-02
       8     -0.44054843E-06     -0.44122664E-06     -0.86675698E-03     -0.78285683E-02
       9     -0.44073960E-06     -0.44122664E-06     -0.99105299E-03     -0.78285683E-02
      10     -0.44083984E-06     -0.44122664E-06     -0.11638994E-02     -0.78285683E-02
      11     -0.44091722E-06     -0.44122664E-06     -0.12834655E-02     -0.78285683E-02
      12     -0.44097115E-06     -0.44122664E-06     -0.14348645E-02     -0.78285683E-02
      13     -0.44101906E-06     -0.44122664E-06     -0.16029243E-02     -0.78285683E-02
      14     -0.44104709E-06     -0.44122664E-06     -0.17480358E-02     -0.78285683E-02
      15     -0.44107226E-06     -0.44122664E-06     -0.18934912E-02     -0.78285683E-02
      16     -0.44108567E-06     -0.44122664E-06     -0.20424319E-02     -0.78285683E-02
      17     -0.44109842E-06     -0.44122664E-06     -0.21604640E-02     -0.78285683E-02
      18     -0.44111038E-06     -0.44122664E-06     -0.22768501E-02     -0.78285683E-02
      19     -0.44111969E-06     -0.44122664E-06     -0.24561477E-02     -0.78285683E-02
      20     -0.44112594E-06     -0.44122664E-06     -0.26127129E-02     -0.78285683E-02
      21     -0.44113358E-06     -0.44122664E-06     -0.27703245E-02     -0.78285683E-02
      22     -0.44113913E-06     -0.44122664E-06     -0.29394326E-02     -0.78285683E-02
      23     -0.44114402E-06     -0.44122664E-06     -0.30863610E-02     -0.78285683E-02
      24     -0.44114934E-06     -0.44122664E-06     -0.32499258E-02     -0.78285683E-02
      25     -0.44115247E-06     -0.44122664E-06     -0.34411873E-02     -0.78285683E-02
      26     -0.44115528E-06     -0.44122664E-06     -0.36021291E-02     -0.78285683E-02

# q=  0.00000000E+00  0.00000000E+00  0.20000000E+00  (qpt 2)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.50138911E-02     -0.10690906E-01     -0.58977893E-04     -0.51961568E-02
       2     -0.77936221E-02     -0.10690906E-01     -0.11574540E-03     -0.51961568E-02
       3     -0.94623237E-02     -0.10690906E-01     -0.17768525E-03     -0.51961568E-02
       4     -0.10159326E-01     -0.10690906E-01     -0.23574213E-03     -0.51961568E-02
       5     -0.10452710E-01     -0.10690906E-01     -0.29169431E-03     -0.51961568E-02
       6     -0.10582911E-01     -0.10690906E-01     -0.34927475E-03     -0.51961568E-02
       7     -0.10632180E-01     -0.10690906E-01     -0.39746482E-03     -0.51961568E-02
       8     -0.10652550E-01     -0.10690906E-01     -0.45014132E-03     -0.51961568E-02
       9     -0.10665329E-01     -0.10690906E-01     -0.51045493E-03     -0.51961568E-02
      10     -0.10671604E-01     -0.10690906E-01     -0.56448348E-03     -0.51961568E-02
      11     -0.10675457E-01     -0.10690906E-01     -0.62879082E-03     -0.51961568E-02
      12     -0.10678403E-01     -0.10690906E-01     -0.70067976E-03     -0.51961568E-02
      13     -0.10680764E-01     -0.10690906E-01     -0.79397689E-03     -0.51961568E-02
      14     -0.10682220E-01     -0.10690906E-01     -0.87545282E-03     -0.51961568E-02
      15     -0.10683481E-01     -0.10690906E-01     -0.98153381E-03     -0.51961568E-02
      16     -0.10684264E-01     -0.10690906E-01     -0.10962097E-02     -0.51961568E-02
      17     -0.10684960E-01     -0.10690906E-01     -0.11893282E-02     -0.51961568E-02
      18     -0.10685549E-01     -0.10690906E-01     -0.12867544E-02     -0.51961568E-02
      19     -0.10686001E-01     -0.10690906E-01     -0.14017861E-02     -0.51961568E-02
      20     -0.10686325E-01     -0.10690906E-01     -0.15131410E-02     -0.51961568E-02
      21     -0.10686687E-01     -0.10690906E-01     -0.16249995E-02     -0.51961568E-02
      22     -0.10686937E-01     -0.10690906E-01     -0.17376486E-02     -0.51961568E-02
      23     -0.10687156E-01     -0.10690906E-01     -0.18500279E-02     -0.51961568E-02
      24     -0.10687373E-01     -0.10690906E-01     -0.19631623E-02     -0.51961568E-02
      25     -0.10687517E-01     -0.10690906E-01     -0.20910703E-02     -0.51961568E-02
      26     -0.10687645E-01     -0.10690906E-01     -0.22118542E-02     -0.51961568E-02

# q=  0.00000000E+00  0.00000000E+00  0.40000000E+00  (qpt 3)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.53121432E-02     -0.20668129E-01     -0.57384254E-04     -0.46585986E-02
       2     -0.99940089E-02     -0.20668129E-01     -0.10897498E-03     -0.46585986E-02
       3     -0.13905599E-01     -0.20668129E-01     -0.15601013E-03     -0.46585986E-02
       4     -0.16832702E-01     -0.20668129E-01     -0.19965741E-03     -0.46585986E-02
       5     -0.18531159E-01     -0.20668129E-01     -0.24068330E-03     -0.46585986E-02
       6     -0.19551689E-01     -0.20668129E-01     -0.28773632E-03     -0.46585986E-02
       7     -0.19983786E-01     -0.20668129E-01     -0.32583471E-03     -0.46585986E-02
       8     -0.20234139E-01     -0.20668129E-01     -0.37838965E-03     -0.46585986E-02
       9     -0.20381393E-01     -0.20668129E-01     -0.43723820E-03     -0.46585986E-02
      10     -0.20484622E-01     -0.20668129E-01     -0.49193890E-03     -0.46585986E-02
      11     -0.20536875E-01     -0.20668129E-01     -0.55207281E-03     -0.46585986E-02
      12     -0.20568133E-01     -0.20668129E-01     -0.62229291E-03     -0.46585986E-02
      13     -0.20590645E-01     -0.20668129E-01     -0.69619840E-03     -0.46585986E-02
      14     -0.20604382E-01     -0.20668129E-01     -0.76726691E-03     -0.46585986E-02
      15     -0.20615881E-01     -0.20668129E-01     -0.84655231E-03     -0.46585986E-02
      16     -0.20622609E-01     -0.20668129E-01     -0.93217561E-03     -0.46585986E-02
      17     -0.20628421E-01     -0.20668129E-01     -0.10217987E-02     -0.46585986E-02
