# k =  0.00000000E+00  0.00000000E+00  0.00000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       1 -0.79020604E+00 -0.61529180E+00  0.17491424E+00  0.13540212E+00
       2 -0.18085568E+01 -0.10778716E+01  0.73068524E+00  0.13540212E+00
       3 -0.26515110E+01 -0.16334493E+01  0.10180617E+01  0.13540212E+00
       4 -0.50910583E+01 -0.25306907E+01  0.25603676E+01  0.13540212E+00
       5 -0.52610311E+01 -0.37247868E+01  0.15362444E+01  0.13540212E+00
       6 -0.55284798E+01 -0.42716642E+01  0.12568156E+01  0.13540212E+00
       7 -0.57805946E+01 -0.51070034E+01  0.67359126E+00  0.13540212E+00
       8 -0.60177386E+01 -0.56062391E+01  0.41149947E+00  0.13540212E+00
       9 -0.63388513E+01 -0.60107330E+01  0.32811824E+00  0.13540212E+00
      10 -0.65036583E+01 -0.61523085E+01  0.35134982E+00  0.13540212E+00
      11 -0.66646069E+01 -0.62439763E+01  0.42063060E+00  0.13540212E+00
      12 -0.67778945E+01 -0.64500048E+01  0.32788971E+00  0.13540212E+00
      13 -0.68735288E+01 -0.65112132E+01  0.36231557E+00  0.13540212E+00
      14 -0.69535185E+01 -0.65776817E+01  0.37583675E+00  0.13540212E+00
      15 -0.70127027E+01 -0.66576638E+01  0.35503890E+00  0.13540212E+00
      16 -0.70761516E+01 -0.67248663E+01  0.35128525E+00  0.13540212E+00
      17 -0.71444917E+01 -0.68212296E+01  0.32326208E+00  0.13540212E+00
      18 -0.71880482E+01 -0.68729814E+01  0.31506675E+00  0.13540212E+00
      19 -0.72406746E+01 -0.69112223E+01  0.32945230E+00  0.13540212E+00
      20 -0.72997874E+01 -0.69503223E+01  0.34946519E+00  0.13540212E+00
      21 -0.73330380E+01 -0.69891754E+01  0.34386255E+00  0.13540212E+00
      22 -0.73803947E+01 -0.70285719E+01  0.35182277E+00  0.13540212E+00
      23 -0.74086017E+01 -0.70668592E+01  0.34174251E+00  0.13540212E+00
      24 -0.74421761E+01 -0.70947606E+01  0.34741547E+00  0.13540212E+00
      25 -0.74794775E+01 -0.71184447E+01  0.36103276E+00  0.13540212E+00
      26 -0.75156383E+01 -0.71418909E+01  0.37374743E+00  0.13540212E+00
      27 -0.75468389E+01 -0.71678776E+01  0.37896133E+00  0.13540212E+00
