# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1       2     0.01684     0.03215     0.03980    9.670221127    0.151801350   -9.518419777
     1       2     0.09338     0.10869    -0.03674    8.187451274   -0.889888459   -9.077339733
     1       2     0.16992     0.18523    -0.11328    5.788826082   -3.230684094   -9.019510176
     1       2     0.24646     0.26177    -0.18982    3.727573925   -4.885126296   -8.612700221
     1       2    -0.28932    -0.27402     0.34596    2.772598719   -5.804658331   -8.577257050
     1       2    -0.21278    -0.19747     0.26942    3.866339538   -4.759418549   -8.625758086
     1       2    -0.13624    -0.12093     0.19288    5.975329831   -3.047485674   -9.022815505
     1       2    -0.05970    -0.04439     0.11634    8.394132724   -0.757239454   -9.151372178
     1       2     0.09338    -0.04439     0.11634    8.035740735   -1.017051787   -9.052792522
     1       2     0.16992     0.03215     0.03980    8.004472545   -1.218900012   -9.223372558
     1       2     0.24646     0.10869    -0.03674    6.387228303   -2.791487132   -9.178715435
     1       2     0.32300     0.18523    -0.11328    4.356930104   -4.559853364   -8.916783468
     1       2     0.39954     0.26177    -0.18982    2.940303360   -5.728456777   -8.668760137
     1       2    -0.13624    -0.27402     0.34596    3.391005330   -5.324148914   -8.715154243
     1       2    -0.05970    -0.19747     0.26942    5.168270895   -3.816023868   -8.984294763
     1       2     0.01684    -0.12093     0.19288    7.006008736   -2.119650066   -9.125658802
     1       2     0.16992    -0.12093     0.19288    5.635583716   -3.376235366   -9.011819082
     1       2     0.24646    -0.04439     0.11634    6.271126085   -2.863124993   -9.134251078
     1       2     0.32300     0.03215     0.03980    5.822107450   -3.392443169   -9.214550618
     1       2     0.39954     0.10869    -0.03674    4.464740853   -4.448380197   -8.913121049
     1       2     0.47608     0.18523    -0.11328    3.102076146   -5.745613526   -8.847689672
     1       2    -0.05970    -0.35056     0.42250    2.946719366   -5.772044956   -8.718764322
     1       2     0.01684    -0.27402     0.34596    4.046584952   -4.951947422   -8.998532374
     1       2     0.09338    -0.19747     0.26942    4.896062552   -4.043806797   -8.939869350
     1       2     0.24646    -0.19747     0.26942    3.614125630   -4.996397764   -8.610523394
     1       2     0.32300    -0.12093     0.19288    4.235203176   -4.673261433   -8.908464609
     1       2     0.39954    -0.04439     0.11634    4.413751901   -4.499787346   -8.913539247
     1       2     0.47608     0.03215     0.03980    3.549068574   -5.394232582   -8.943301155
     1       2     0.55262     0.10869    -0.03674    2.462239337   -6.339336630   -8.801575968
     1       2    -0.59549     0.18523    -0.11328    2.265252238   -6.516264046   -8.781516284
     1       2     0.09338    -0.35056     0.42250    2.896195870   -5.791215848   -8.687411718
     1       2     0.16992    -0.27402     0.34596    3.181433823   -5.494140941   -8.675574763
     1       2    -0.28932     0.33831    -0.26636    2.783457290   -5.793421860   -8.576879150
     1       2     0.39954    -0.19747     0.26942    2.895895666   -5.770568442   -8.666464108
     1       2     0.47608    -0.12093     0.19288    3.057656253   -5.733224882   -8.790881136
     1       2     0.55262    -0.04439     0.11634    2.460772437   -6.322460534   -8.783232971
     1       2    -0.59549     0.03215     0.03980    1.895420752   -6.899815226   -8.795235979
     1       2    -0.51895     0.10869    -0.03674    2.895852416   -6.002800414   -8.898652830
     1       2    -0.44240     0.18523    -0.11328    3.372512871   -5.506907432   -8.879420304
     1       2    -0.36586     0.26177    -0.18982    3.047851994   -5.609625617   -8.657477610
     1       2    -0.21278     0.26177    -0.18982    3.987663026   -4.629141209   -8.616804235
     1       2    -0.13624     0.33831    -0.26636    3.482334944   -5.241006462   -8.723341406
     1       2    -0.05970     0.41485    -0.34290    3.020414782   -5.693309969   -8.713724751
     1       2    -0.59549    -0.12093     0.19288    2.322041097   -6.463999127   -8.786040224
     1       2    -0.51895    -0.04439     0.11634    2.885866782   -5.979761790   -8.865628572
     1       2    -0.44240     0.03215     0.03980    4.038899044   -4.899285904   -8.938184947
     1       2    -0.36586     0.10869    -0.03674    4.900617927   -4.014785408   -8.915403335
     1       2    -0.28932     0.18523    -0.11328    4.651401863   -4.253428774   -8.904830637
     1       2    -0.13624     0.18523    -0.11328    6.132507281   -2.894796945   -9.027304225
     1       2    -0.05970     0.26177    -0.18982    5.314268944   -3.668469049   -8.982737993
     1       2     0.01684     0.33831    -0.26636    4.168179964   -4.845169784   -9.013349748
     1       2     0.09338     0.41485    -0.34290    2.947025185   -5.743989361   -8.691014545
     1       2    -0.44240    -0.12093     0.19288    3.305788324   -5.528729585   -8.834517909
     1       2    -0.36586    -0.04439     0.11634    4.835110642   -4.081545286   -8.916655928
     1       2    -0.28932     0.03215     0.03980    6.319320656   -2.913496666   -9.232817322
     1       2    -0.21278     0.10869    -0.03674    6.791753173   -2.362578870   -9.154332043
     1       2    -0.05970     0.10869    -0.03674    8.550045375   -0.660418873   -9.210464248
     1       2     0.01684     0.18523    -0.11328    7.178027343   -1.967683739   -9.145711082
     1       2     0.09338     0.26177    -0.18982    5.036962188   -3.909270124   -8.946232312
     1       2     0.16992     0.33831    -0.26636    3.259830132   -5.419811992   -8.679642124
     1       2    -0.36586    -0.19747     0.26942    2.982259795   -5.664734563   -8.646994358
     1       2    -0.28932    -0.12093     0.19288    4.518425326   -4.340364312   -8.858789638
     1       2    -0.21278    -0.04439     0.11634    6.664513749   -2.450172357   -9.114686106
     1       2    -0.13624     0.03215     0.03980    8.441241795   -0.811752923   -9.252994718
     1       2    -0.05970     0.10869     0.11634    7.725727231   -1.315396196   -9.041123427
     1       2     0.01684     0.18523     0.03980    7.878287716   -1.378956602   -9.257244318
     1       2     0.09338     0.26177    -0.03674    6.330819480   -2.878731179   -9.209550658
     1       2     0.16992     0.33831    -0.11328    4.343416458   -4.572722210   -8.916138668
     1       2     0.24646     0.41485    -0.18982    2.946386318   -5.728826395   -8.675212712
     1       2    -0.28932    -0.12093     0.34596    3.399659141   -5.290227470   -8.689886611
     1       2    -0.21278    -0.04439     0.26942    5.133506003   -3.874416982   -9.007922984
     1       2    -0.13624     0.03215     0.19288    6.771624981   -2.291110557   -9.062735537
     1       2     0.01684     0.03215     0.19288    7.822908183   -1.449172838   -9.272081022
     1       2     0.09338     0.10869     0.11634    7.381359918   -1.646691480   -9.028051398
     1       2     0.16992     0.18523     0.03980    6.451808578   -2.581078012   -9.032886591
     1       2     0.24646     0.26177    -0.03674    4.945130759   -4.073941021   -9.019071781
     1       2     0.32300     0.33831    -0.11328    3.301651039   -5.375500067   -8.677151106
     1       2    -0.21278    -0.19747     0.42250    3.006182872   -5.688343151   -8.694526022
     1       2    -0.13624    -0.12093     0.34596    4.472833268   -4.442644963   -8.915478231
     1       2    -0.05970    -0.04439     0.26942    6.440341355   -2.770308952   -9.210650306
     1       2     0.09338    -0.04439     0.26942    6.193234770   -2.971846479   -9.165081249
     1       2     0.16992     0.03215     0.19288    6.417223001   -2.616737226   -9.033960227
     1       2     0.24646     0.10869     0.11634    5.735135205   -3.239379651   -8.974514856
     1       2     0.32300     0.18523     0.03980    4.861683365   -4.121241589   -8.982924954
     1       2     0.39954     0.26177    -0.03674    3.630272701   -5.269229952   -8.899502652
     1       2    -0.13624    -0.27402     0.49904    2.799425474   -5.921378744   -8.720804218
     1       2    -0.05970    -0.19747     0.42250    3.708273194   -5.198952324   -8.907225518
     1       2     0.01684    -0.12093     0.34596    5.133914673   -3.787954997   -8.921869671
     1       2     0.16992    -0.12093     0.34596    4.218033232   -4.697036350   -8.915069582
     1       2     0.24646    -0.04439     0.26942    4.831264076   -4.180417945   -9.011682020
     1       2     0.32300     0.03215     0.19288    4.834951399   -4.170202540   -9.005153940
     1       2     0.39954     0.10869     0.11634    4.145910265   -4.769032066   -8.914942331
     1       2     0.47608     0.18523     0.03980    3.263795135   -5.648708110   -8.912503245
     1       2     0.55262     0.26177    -0.03674    2.376174082   -6.519680422   -8.895854504
     1       2     0.01684    -0.27402     0.49904    2.780282581   -6.139116983   -8.919399565
     1       2     0.09338    -0.19747     0.42250    3.565981622   -5.333126583   -8.899108205
     1       2     0.24646    -0.19747     0.42250    2.905890857   -5.761016490   -8.666907347
     1       2     0.32300    -0.12093     0.34596    3.218906548   -5.457895025   -8.676801573
     1       2     0.39954    -0.04439     0.26942    3.560837999   -5.292697826   -8.853535825
     1       2     0.47608     0.03215     0.19288    3.249645296   -5.665760543   -8.915405838
     1       2     0.55262     0.10869     0.11634    2.466414496   -6.277870906   -8.744285403
     1       2    -0.59549     0.18523     0.03980    2.004632884   -6.785051109   -8.789683993
     1       2    -0.51895     0.26177    -0.03674    2.650124927   -6.257059800   -8.907184727
     1       2    -0.44240     0.33831    -0.11328    2.851424238   -5.837645739   -8.689069976
     1       2    -0.28932     0.33831    -0.11328    3.494968504   -5.188497921   -8.683466425
     1       2    -0.21278     0.41485    -0.18982    3.065389335   -5.656012870   -8.721402205
     1       2    -0.13624     0.49139    -0.26636    2.817399031   -5.904171640   -8.721570671
     1       2     0.55262    -0.04439     0.26942    2.384801278   -6.493194504   -8.877995782
     1       2    -0.59549     0.03215     0.19288    1.991934559   -6.804266354   -8.796200913
     1       2    -0.51895     0.10869     0.11634    2.836936647   -5.927954867   -8.764891514
     1       2    -0.44240     0.18523     0.03980    3.623128252   -5.290920133   -8.914048384
     1       2    -0.36586     0.26177    -0.03674    3.910975477   -5.033077322   -8.944052799
     1       2    -0.21278     0.26177    -0.03674    5.251963005   -3.765567729   -9.017530733
     1       2    -0.13624     0.33831    -0.11328    4.603929198   -4.311584651   -8.915513848
     1       2    -0.05970     0.41485    -0.18982    3.821791452   -5.087341370   -8.909132822
     1       2     0.01684     0.49139    -0.26636    2.870036823   -6.049619381   -8.919656204
     1       2    -0.51895    -0.04439     0.26942    2.636508152   -6.260516078   -8.897024230
     1       2    -0.44240     0.03215     0.19288    3.605385741   -5.311069497   -8.916455238
     1       2    -0.36586     0.10869     0.11634    4.500873915   -4.414579450   -8.915453365
     1       2    -0.28932     0.18523     0.03980    5.206000487   -3.793529912   -8.999530398
     1       2    -0.13624     0.18523     0.03980    6.809060916   -2.242545507   -9.051606424
     1       2    -0.05970     0.26177    -0.03674    6.584058974   -2.665885243   -9.249944217
     1       2     0.01684     0.33831    -0.11328    5.277863197   -3.647851936   -8.925715133
     1       2     0.09338     0.41485    -0.18982    3.671829466   -5.234045831   -8.905875298
     1       2    -0.44240    -0.12093     0.34596    2.841695462   -5.845229344   -8.686924806
     1       2    -0.36586    -0.04439     0.26942    3.829660249   -5.051568683   -8.881228932
     1       2    -0.28932     0.03215     0.19288    5.177638801   -3.835039782   -9.012678583
     1       2    -0.21278     0.10869     0.11634    6.089186907   -2.921775441   -9.010962348
     1       2    -0.13624     0.18523     0.19288    5.333768826   -3.579179396   -8.912948222
